NumEvents,5
Best Single,14.461,Connie Miller,Best AO5,21.381,Cadie Ross,"[22.383, 22.555, 19.213, 18.945, 22.547]"
First Name,Last Name,Age,Expected Time,Consistency,Best Placing,AVG Placing,Wins,Podiums,Best Single,Best AO5,Best AO5 Times
Sarah,Walker,28,29.859,4.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vincent,Wright,21,31.693,4.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan,Turner,23,34.565,3.9,436,436,0,0,32.524,35.897,"[32.524, 38.39, 34.669, 34.631, 'DNF']"
Eleanor,Morrison,29,33.273,4.3,176,176.0,0,0,28.891,35.403,"[30.349, 28.891, 33.819, 42.041, 'DNF']"
Elise,Hill,27,29.584,4.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steven,Dixon,19,32.198,4.42,161,367.25,0,0,27.149,34.682,"[36.432, 36.995, 34.332, 33.283, 31.281]"
Arnold,Riley,20,33.924,4.75,133,183.67,0,0,27.243,35.01,"[40.161, 28.009, 29.562, 39.977, 35.492]"
Eddy,Turner,19,28.343,4.46,8,8.0,0,0,17.423,25.98,"[29.24, 27.422, 19.708, 21.278, 34.097]"
Catherine,Mitchell,21,31.907,4.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julian,Carter,29,34.796,3.94,198,241.0,0,0,29.047,34.634,"[40.663, 38.008, 31.837, 29.047, 34.058]"
Myra,Payne,24,34.73,4.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sophia,Evans,28,32.349,4.09,166,203.6,0,0,26.634,33.392,"[33.363, 30.369, 35.53, 34.288, 32.524]"
Caroline,Johnston,25,30.649,4.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Savana,Campbell,26,28.586,4.26,9,54.0,0,0,17.74,25.907,"[23.266, 28.999, 30.042, 22.494, 25.455]"
Valeria,Allen,21,32.255,4.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alberta,Stevens,29,30.689,4.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Max,Howard,25,32.006,4.54,38,38.0,0,0,25.025,30.258,"[32.404, 32.741, 25.025, 25.63, 34.412]"
Ryan,Williams,27,30.29,3.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derek,Harris,22,31.481,4.69,235,235,0,0,25.508,32.109,"[25.508, 30.789, 39.108, 26.431, 'DNF']"
Maria,Fowler,27,34.295,4.45,302,302,0,0,26.86,33.082,"[39.464, 33.987, 30.913, 26.86, 34.347]"
Carl,Warren,20,29.716,3.95,68,68.0,0,0,22.773,28.803,"[24.897, 32.687, 22.773, 33.242, 28.824]"
Reid,Richards,29,33.536,4.04,135,192.8,0,0,27.433,35.457,"[27.433, 30.193, 37.307, 41.006, 38.87]"
Luke,Cole,19,32.197,3.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Valeria,Armstrong,28,31.657,3.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leonardo,Ferguson,18,32.216,4.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Miley,Phillips,19,31.658,4.65,71,105.4,0,0,25.802,29.248,"[27.46, 30.331, 28.822, 34.93, 28.591]"
Heather,Moore,20,31.558,4.61,86,86.0,0,0,28.114,31.877,"[31.11, 33.039, 28.114, 31.483, 'DNF']"
Darcy,Myers,28,33.108,4.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Grace,Miller,29,29.389,4.34,250,250.0,N/A,N/A,27.457,N/A,N/A
Byron,Brown,20,30.598,4.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brad,Turner,30,31.09,3.47,72,72.0,0,0,30.148,32.59,"[30.148, 32.295, 37.796, 33.582, 31.892]"
Kelsey,Chapman,27,30.156,4.01,126,126,0,0,27.241,30.391,"[31.52, 28.059, 31.595, 27.241, 36.264]"
Albert,Parker,24,30.775,4.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldus,Jones,23,33.013,4.64,489,489,0,0,34.365,39.206,"[40.278, 39.96, 39.389, 34.365, 38.269]"
Frederick,Gibson,25,31.943,4.46,307,307.0,0,0,26.275,32.862,"[36.737, 33.532, 26.275, 36.597, 28.457]"
Adele,Alexander,21,28.688,4.99,24,30.0,0,0,19.857,25.231,"[24.074, 19.857, 'DNF', 29.303, 22.316]"
Grace,Richardson,24,29.823,4.16,36,120.8,0,0,17.198,28.085,"[17.198, 26.683, 29.868, 32.179, 27.703]"
Daniel,Murray,27,31.072,4.44,284,284,0,0,24.919,32.8,"[35.114, 33.961, 29.326, 24.919, 38.792]"
Julia,Turner,22,32.34,4.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derek,Sullivan,28,31.366,3.78,275,275.0,0,0,28.842,32.368,"[33.278, 34.478, 29.348, 34.643, 28.842]"
Aida,Ross,26,35.058,4.2,143,143.0,0,0,34.089,37.223,"[36.86, 43.16, 36.938, 37.872, 34.089]"
Stella,Martin,29,34.462,4.44,208,343.5,0,0,32.224,34.993,"[35.019, 33.269, 37.422, 32.224, 36.692]"
Miranda,Wright,25,29.784,4.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tess,Mason,21,30.111,4.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samantha,Douglas,25,30.821,4.94,93,93,0,0,22.576,29.664,"[33.691, 32.715, 32.045, 24.232, 22.576]"
Ashton,Montgomery,28,32.417,3.87,171,171.0,N/A,N/A,26.194,33.486,"[34.978, 34.085, 35.216, 31.396, 26.194]"
Deanna,Casey,19,32.058,4.12,123,123.0,0,0,24.624,33.307,"[24.624, 40.188, 35.109, 33.966, 30.846]"
Catherine,Tucker,19,32.801,4.0,145,145.0,0,0,32.986,34.034,"[35.491, 32.986, 33.532, 33.08, 42.585]"
Dasha,Buchkovsky,23,29.178,4.65,1,1.0,1,1,19.809,26.468,"[26.85, 28.1, 24.455, 19.809, 'DNF']"
Carina,Hill,24,33.334,4.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paul,Anderson,29,32.985,3.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lilianna,Alexander,27,33.622,4.34,224,224.0,N/A,N/A,29.64,36.023,"['DNF', 36.139, 30.634, 29.64, 41.297]"
Sophia,Harper,22,34.546,4.69,104,168.8,0,0,26.467,32.514,"[31.46, 26.467, 29.048, 37.366, 37.035]"
Antony,Sullivan,18,32.423,5.28,340,340.0,0,0,23.916,33.463,"[31.411, 34.756, 34.221, 23.916, 'DNF']"
Oscar,Alexander,25,31.936,4.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amanda,Carroll,23,30.141,3.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melissa,Taylor,20,35.235,4.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Natalie,Hawkins,27,32.141,4.26,449,449.0,0,0,28.387,36.184,"[28.387, 35.9, 39.015, 'DNF', 33.636]"
Adison,Gray,20,33.004,4.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clark,Andrews,18,32.855,4.09,67,67.0,0,0,26.668,32.3,"[26.668, 30.865, 31.861, 34.173, 37.07]"
Rebecca,Payne,30,32.482,4.71,245,245.0,0,0,26.345,31.888,"[34.891, 32.436, 32.038, 31.189, 26.345]"
Justin,Taylor,19,34.978,5.07,191,296.8,0,0,25.394,33.635,"[35.261, 36.844, 37.556, 28.299, 28.799]"
Aiden,Moore,27,32.571,3.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steven,Allen,23,32.735,4.58,36,92.0,0,0,20.827,30.166,"[26.905, 31.382, 32.604, 29.334, 29.781]"
Alberta,Andrews,24,33.168,4.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sophia,Richardson,22,34.767,4.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oliver,Campbell,26,33.679,4.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Justin,Kelley,18,29.742,4.67,47,83.8,0,0,21.581,28.244,"[26.563, 24.337, 'DNF', 33.196, 24.972]"
Charlie,Phillips,18,31.402,4.8,135,135.0,0,0,27.315,30.249,"[31.411, 27.315, 34.121, 31.635, 27.702]"
Aston,Jones,18,32.436,4.19,111,111.0,0,0,30.977,32.775,"[30.977, 31.729, 37.398, 35.307, 31.288]"
Roman,Andrews,28,32.617,4.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dexter,Richards,27,29.98,4.59,187,187.0,0,0,18.042,31.035,"[26.262, 30.82, 36.023, 18.042, 'DNF']"
Mike,Turner,30,31.183,4.98,28,35.2,0,0,21.574,26.722,"[24.181, 36.421, 25.737, 30.249, 22.507]"
Jared,Myers,22,34.214,5.14,78,90.75,0,0,27.439,32.798,"[46.067, 29.603, 37.124, 27.439, 31.667]"
Isabella,Reed,30,34.092,4.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mary,Harris,24,33.047,3.77,221,262.6,0,0,30.373,35.654,"[30.49, 34.936, 35.434, 36.593, 'DNF']"
Nicole,Cunningham,20,30.922,3.93,196,209.0,0,0,26.359,31.151,"[29.43, 30.598, 30.658, 35.11, 32.197]"
Mike,Spencer,18,29.602,3.86,72,72.0,N/A,N/A,24.261,30.458,"[30.007, 'DNF', 24.261, 27.159, 34.207]"
Edith,Riley,26,33.408,4.69,32,32,0,0,21.477,28.269,"[29.123, 21.477, 31.057, 24.626, 31.514]"
Tiana,Montgomery,27,34.545,4.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maria,Elliott,24,35.5,4.55,89,89.0,N/A,N/A,29.235,31.178,"[34.627, 33.163, 29.235, 29.428, 30.944]"
Michelle,Carroll,24,31.033,4.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William,Robinson,24,35.357,4.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lucia,Higgins,29,33.215,4.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antony,Wilson,25,29.545,4.09,51,65.8,0,0,26.924,28.354,"[32.984, 27.654, 29.158, 28.25, 26.924]"
Sienna,Perkins,18,30.979,4.18,208,208.0,0,0,28.973,31.25,"[33.158, 31.827, 31.396, 30.526, 28.973]"
Eric,Andrews,21,30.333,4.65,123,123,0,0,25.476,30.339,"[29.495, 34.685, 25.476, 33.528, 27.993]"
Julian,Stevens,27,32.261,4.37,77,193.8,0,0,27.142,31.564,"[27.142, 35.219, 27.302, 32.171, 35.491]"
Paige,Fowler,28,28.119,3.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Olivia,Richardson,24,29.895,3.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alberta,Bailey,27,31.338,4.31,130,130.0,0,0,24.275,30.204,"[24.275, 31.991, 30.422, 28.198, 33.568]"
Alan,Hill,27,34.034,4.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victoria,Andrews,26,33.655,4.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audrey,Allen,24,32.757,4.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adrian,Warren,20,32.231,4.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amber,Roberts,20,34.057,3.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sofia,Warren,28,33.388,4.79,232,232.0,N/A,N/A,25.846,36.621,"[33.791, 25.846, 45.16, 42.068, 34.003]"
David,Russell,29,29.374,4.92,64,93.0,0,0,18.229,28.709,"[32.554, 32.114, 31.423, 22.589, 18.229]"
Maddie,Clark,20,32.734,4.95,474,474,0,0,33.515,37.84,"[35.328, 33.515, 39.06, 39.131, 'DNF']"
Arthur,Mitchell,29,31.103,4.57,48,100.67,0,0,20.361,30.178,"[23.591, 20.361, 30.683, 36.261, 'DNF']"
Adelaide,Stewart,30,31.267,4.84,177,177.0,0,0,25.547,30.921,"[27.783, 25.547, 37.858, 29.268, 35.711]"
Alford,Allen,18,30.826,4.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Frederick,Allen,25,31.367,4.32,395,395.0,0,0,27.652,34.709,"[39.049, 34.503, 37.474, 32.149, 27.652]"
Blake,Kelley,29,32.055,4.13,347,347.0,0,0,26.973,33.705,"[32.357, 35.583, 26.973, 33.175, 38.463]"
Caroline,Hunt,23,32.211,4.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lucy,Harper,24,32.726,4.28,167,167.0,0,0,29.151,34.942,"[33.523, 36.228, 38.894, 29.151, 35.074]"
Myra,Mitchell,23,29.631,3.75,72,72,0,0,25.455,29.253,"[25.455, 27.702, 29.888, 35.277, 30.169]"
Max,Kelly,25,31.615,4.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edward,Smith,25,30.997,3.77,306,306,0,0,25.445,33.172,"[31.863, 25.445, 31.684, 35.97, 39.23]"
Brooke,Kelley,18,34.24,3.71,222,222,0,0,30.219,31.858,"[30.59, 37.078, 33.431, 31.553, 30.219]"
Edith,Crawford,21,33.298,4.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marcus,Mitchell,19,31.762,3.88,96,96.0,0,0,26.252,29.468,"[32.022, 34.08, 28.353, 26.252, 28.03]"
Fiona,Nelson,25,28.802,5.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cherry,Grant,27,30.013,4.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew,Watson,18,31.798,3.98,58,99.4,0,0,24.475,31.663,"[39.428, 31.733, 24.475, 35.344, 27.913]"
Clark,Scott,19,33.198,4.46,177,177.0,N/A,N/A,29.19,33.621,"[32.674, 29.19, 35.217, 36.675, 32.971]"
Brooke,Murphy,28,34.286,4.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blake,Howard,21,34.719,4.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chloe,Stevens,29,27.992,3.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vanessa,Brooks,25,33.528,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor,Casey,28,33.907,4.85,259,259.0,0,0,26.336,32.093,"[32.325, 43.278, 26.336, 36.63, 27.324]"
Kellan,Ross,26,30.643,4.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Walter,Wright,22,30.725,4.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joyce,Gray,24,29.469,4.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marcus,Richards,19,33.315,4.61,93,93.0,0,0,19.865,33.432,"[31.919, 36.363, 36.769, 19.865, 32.015]"
Jasmine,Russell,24,32.135,4.84,396,396,0,0,26.906,34.874,"[34.156, 41.502, 26.906, 28.963, 43.696]"
Edward,Parker,26,31.582,5.28,174,174.0,0,0,23.907,30.907,"[23.907, 30.456, 40.632, 30.22, 32.044]"
Jared,Brooks,30,30.726,4.37,359,359,0,0,31.656,34.148,"[34.434, 34.599, 35.905, 31.656, 33.41]"
Lyndon,Morgan,23,30.274,4.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric,Smith,29,30.357,4.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arianna,Craig,28,30.753,5.03,39,111.6,0,0,20.005,29.867,"[30.466, 37.361, 29.957, 26.722, 29.179]"
Stuart,Richards,22,31.323,5.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carlos,Johnson,30,32.292,3.93,301,301,0,0,23.163,33.057,"[33.188, 43.523, 31.321, 34.662, 23.163]"
Tiana,Adams,23,31.634,4.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jack,Jones,21,31.896,4.46,221,221,0,0,29.436,31.842,"[33.87, 33.942, 29.436, 31.895, 29.76]"
William,Edwards,22,31.586,3.55,138,160.6,0,0,26.592,32.33,"[31.807, 28.989, 32.6, 32.583, 33.165]"
Aiden,Mitchell,30,33.456,4.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rafael,Hill,26,32.77,4.62,174,174,0,0,23.719,31.123,"[31.01, 23.719, 37.95, 29.631, 32.727]"
Adrianna,Evans,29,32.938,4.4,86,120.0,0,0,28.376,32.433,"[33.849, 30.87, 33.936, 28.376, 32.58]"
Reid,Andrews,24,31.62,4.3,76,150.0,0,0,25.672,30.933,"[34.114, 29.136, 28.512, 29.55, 35.717]"
Melissa,Foster,27,32.887,4.26,55,55,0,0,26.648,28.817,"[29.853, 28.55, 26.648, 28.594, 29.306]"
Ted,Sullivan,20,29.538,3.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sienna,Cole,26,29.468,4.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chelsea,Walker,21,33.104,4.81,422,422.0,0,0,32.599,35.433,"[34.884, 32.599, 42.974, 37.722, 33.693]"
Alexia,Murray,30,30.36,4.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Penelope,Walker,26,28.109,4.66,2,3.0,0,1,16.106,24.671,"[21.97, 26.206, 22.812, 27.196, 24.994]"
Emily,Holmes,23,31.514,4.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike,Rogers,27,31.055,4.27,84,84.0,0,0,25.576,29.211,"[25.576, 28.569, 34.814, 31.523, 27.54]"
Dominik,Edwards,30,29.674,4.93,24,24,0,0,21.443,28.048,"[21.443, 28.994, 24.682, 36.151, 30.468]"
Gianna,Gray,21,35.296,4.25,473,473.0,0,0,32.359,37.463,"[42.666, 35.162, 34.561, 32.359, 44.357]"
Sydney,Spencer,21,33.523,3.72,460,460.0,0,0,33.325,36.855,"[34.705, 33.325, 39.392, 37.128, 38.732]"
Luke,Perkins,27,30.479,4.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Martin,Higgins,29,33.988,4.28,164,172.0,0,0,25.829,33.338,"[34.177, 32.889, 32.949, 25.829, 39.401]"
Max,Roberts,25,31.189,3.53,148,148.0,N/A,N/A,26.461,32.749,"[35.724, 32.931, 32.591, 26.461, 32.725]"
Ashton,Craig,21,29.477,4.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julian,Thomas,18,31.485,4.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melanie,Martin,19,31.217,4.33,252,252.0,0,0,26.696,32.007,"[26.696, 32.012, 29.313, 34.697, 'DNF']"
Jordan,Wright,25,29.209,4.21,40,191.2,0,0,23.01,27.671,"[23.01, 40.601, 25.369, 27.467, 30.176]"
Caroline,Harrison,28,34.848,4.55,204,204.0,0,0,25.337,31.233,"[30.591, 31.813, 25.337, 38.208, 31.294]"
Savana,Owens,19,30.85,4.38,339,339.0,0,0,27.856,33.46,"[27.856, 28.947, 'DNF', 39.263, 32.169]"
Nicole,Scott,22,32.307,4.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tara,Murphy,27,34.429,4.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Natalie,Martin,26,33.644,4.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rubie,Martin,29,32.671,3.7,116,266.0,0,0,26.418,31.76,"[26.418, 35.093, 33.52, 29.606, 32.153]"
Rubie,Ferguson,19,32.73,4.22,91,91.0,0,0,28.835,32.013,"[28.835, 29.265, 34.759, 32.015, 'DNF']"
Thomas,Owens,21,30.537,3.98,105,105.0,0,0,22.548,33.92,"[22.548, 37.147, 36.549, 32.5, 32.712]"
Blake,Stewart,24,33.333,4.29,149,149.0,N/A,N/A,21.587,32.784,"[32.552, 43.79, 21.587, 32.139, 33.66]"
Spike,Ross,20,30.497,4.49,40,71.0,0,0,27.329,28.111,"[27.505, 27.704, 27.329, 29.125, 30.491]"
Grace,Scott,23,31.034,3.93,105,150.0,0,0,27.172,32.547,"[34.887, 29.196, 41.534, 33.559, 27.172]"
Elise,Dixon,23,31.998,4.14,377,377,0,0,32.363,34.483,"[34.097, 32.363, 36.099, 33.592, 35.759]"
Miranda,Brown,21,30.151,4.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dale,Foster,23,36.334,4.37,149,210.33,0,0,32.145,37.576,"[32.145, 32.55, 38.79, 41.389, 46.351]"
April,Morris,18,30.296,4.83,63,101.25,0,0,23.055,29.252,"[29.675, 29.936, 28.144, 23.055, 32.678]"
Darcy,Mason,25,35.388,4.17,102,185.6,0,0,28.773,32.785,"[29.57, 28.773, 37.149, 35.004, 33.78]"
Rosie,Crawford,30,34.192,4.69,459,459,0,0,26.286,36.807,"[37.704, 26.286, 37.713, 35.005, 40.661]"
Edith,Brown,29,35.425,5.22,366,366.0,0,0,26.582,34.017,"[33.183, 37.071, 37.292, 26.582, 31.797]"
Lyndon,Martin,19,32.428,3.84,62,74.75,0,0,24.642,31.857,"['DNF', 32.729, 29.924, 29.689, 32.917]"
Vanessa,Lloyd,22,30.657,4.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rosie,Carroll,22,33.132,3.85,383,383.0,0,0,29.488,34.362,"[32.884, 36.464, 29.488, 33.737, 'DNF']"
Florrie,Grant,19,32.798,4.14,381,381.0,0,0,33.306,34.33,"[34.686, 33.851, 33.306, 34.453, 37.231]"
Aldus,Chapman,28,31.807,4.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catherine,Harris,23,29.618,3.66,44,44.0,0,0,22.748,26.85,"[34.59, 24.091, 26.063, 30.395, 22.884]"
Antony,Casey,20,31.186,4.23,62,106.2,0,0,20.607,29.064,"[30.411, 29.232, 22.725, 35.794, 27.549]"
Justin,Edwards,30,30.641,4.38,325,325.0,0,0,25.941,33.155,"[35.383, 25.941, 31.949, 32.133, 'DNF']"
John,Hunt,24,31.537,4.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adelaide,Anderson,19,30.715,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freddie,Perry,28,31.448,4.07,29,29,0,0,24.473,28.345,"[27.992, 27.449, 30.342, 28.778, 28.266]"
Elise,Bennett,22,28.545,4.69,132,132,0,0,19.915,30.499,"[30.666, 30.245, 33.565, 19.915, 30.585]"
Carina,Reed,27,31.999,4.71,41,41,0,0,19.863,26.183,"[26.803, 27.543, 23.39, 24.203, 30.494]"
Dainton,Harris,25,32.512,4.48,107,107,0,0,25.824,30.005,"[33.554, 28.913, 32.602, 28.501, 25.824]"
Spike,Brooks,23,33.426,4.14,224,224,0,0,23.321,31.912,"[27.433, 30.16, 23.321, 38.8, 38.143]"
Annabella,Phillips,18,32.013,4.7,134,262.67,0,0,17.963,33.206,"[41.579, 28.967, 19.402, 39.719, 30.933]"
Maddie,Stewart,21,35.463,4.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
