The Japan Open in Tokyo
Best Single,14.33,Bradley Cross,Best AO5,15.74,Bradley Cross,"[14.33, 16.11, 16.05, 19.59, 15.07]"
Rank,First Name,Last Name,Event AVG,Best Event Single,Best Event AO5,Times,Solves,DNFs
52nd,Michelle,Boyle,23.34,19.95,22.4,"[26.7, 23.11, 19.95, 21.78, 22.31]",15,0
53rd,Conor,Evans,21.71,18.65,19.63,"[18.83, 20.39, 19.28, 19.22, 22.15]",15,0
54th,Suzanne,Weiss,22.34,20.54,21.98,"[22.38, 21.7, 21.85, 20.54, 23.12]",15,0
55th,Rebecca,Brown,22.93,21.1,22.32,"[22.88, 'DNF', 21.1, 21.4, 22.67]",14,1
56th,Jessica,Lane,22.07,18.98,21.86,"[22.06, 20.33, 23.18, 20.14, 23.62]",15,0
57th,Douglas,Robinson,23.57,21.0,22.24,"[21.82, 21.29, 21.92, 26.05, 22.98]",13,2
58th,James,Howard,22.52,18.59,21.99,"[21.38, 22.07, 22.53, 22.61, 20.94]",15,0
59th,Steven,Carpenter,21.52,18.02,21.16,"[19.47, 'DNF', 20.32, 22.72, 20.44]",14,1
60th,Sarah,Torres,22.3,18.59,21.96,"[22.5, 23.35, 18.59, 20.04, 23.87]",15,0
61st,Michele,Cordova,22.12,19.05,20.74,"[20.3, 25.19, 20.88, 21.04, 19.05]",15,0
62nd,Carlos,Thompson,22.93,20.17,22.0,"[22.65, 22.38, 20.97, 24.58, 20.78]",15,0
63rd,Eric,Burgess,23.36,20.51,22.07,"[22.75, 21.64, 21.82, 24.08, 20.51]",15,0
64th,James,Cordova,22.36,19.69,21.62,"[19.69, 22.6, 23.31, 21.31, 20.95]",15,0
65th,John,Oconnor,23.07,20.9,22.47,"[24.08, 20.9, 21.65, 27.06, 21.67]",5,0
66th,Taylor,Roach,22.38,20.05,22.48,"[22.47, 22.46, 24.44, 20.05, 22.51]",5,0
67th,Martha,Smith,22.86,20.7,22.49,"[26.12, 20.7, 21.08, 21.73, 24.66]",5,0
68th,Sheila,Johnson,22.16,19.95,22.49,"[22.02, 22.24, 23.34, 19.95, 23.22]",5,0
69th,Anita,Buchanan,22.22,19.94,22.56,"[19.94, 21.82, 23.3, 22.55, 23.44]",5,0
70th,Kelly,Morris,22.71,21.48,22.57,"[21.48, 24.34, 22.63, 22.43, 22.65]",5,0
71st,Andrew,Bradford,22.59,21.81,22.58,"[22.58, 22.28, 23.36, 22.89, 21.81]",5,0
72nd,James,Martin,23.22,21.16,22.58,"[27.22, 21.42, 22.71, 21.16, 23.62]",5,0
73rd,Brittany,Obrien,22.56,18.73,22.59,"[23.71, 26.33, 18.73, 22.9, 21.17]",5,0
74th,Daniel,Espinoza,23.13,21.48,22.6,"[26.37, 22.29, 23.41, 21.48, 22.1]",5,0
75th,Allen,Cook,22.97,21.85,22.62,"[21.85, 25.14, 22.62, 22.94, 22.29]",5,0
76th,Haley,Ryan,21.88,19.59,22.64,"[20.64, 24.88, 22.41, 19.59, 'DNF']",4,1
77th,Anna,Charles,22.57,20.17,22.64,"[23.15, 20.85, 24.76, 20.17, 23.92]",5,0
78th,Stacy,Roberson,22.68,20.91,22.66,"[23.0, 22.88, 20.91, 24.48, 22.1]",5,0
79th,James,Gamble,22.96,20.87,22.69,"[22.21, 21.27, 25.84, 24.59, 20.87]",5,0
80th,Lynn,Cohen,23.24,20.58,22.69,"[22.07, 22.39, 20.58, 23.62, 27.57]",5,0
81st,Wendy,Herrera,22.72,22.14,22.75,"[23.13, 23.24, 22.26, 22.86, 22.14]",5,0
82nd,Corey,Smith,23.25,21.89,22.77,"[23.71, 21.89, 26.08, 22.7, 21.91]",5,0
83rd,Craig,Smith,22.18,20.43,22.77,"[21.03, 'DNF', 20.43, 23.78, 23.49]",4,1
84th,Carol,Riley,23.51,20.54,22.78,"[24.9, 20.54, 22.02, 21.42, 28.66]",5,0
85th,Sarah,Hunt,23.21,21.23,22.8,"[21.76, 26.46, 22.88, 21.23, 23.75]",5,0
86th,Justin,Thomas,22.66,19.95,22.81,"[24.93, 22.16, 21.44, 24.82, 19.95]",5,0
87th,Ian,Campbell,22.66,19.7,22.84,"[19.7, 21.4, 23.71, 25.13, 23.4]",5,0
88th,Denise,Diaz,23.16,20.89,22.87,"[20.89, 21.99, 24.17, 26.3, 22.45]",5,0
89th,Alexandria,Perez,22.82,21.98,22.88,"[21.98, 22.88, 22.67, 23.08, 23.51]",5,0
90th,David,Hamilton,22.89,21.7,22.88,"[24.1, 23.38, 21.7, 22.17, 23.1]",5,0
91st,Regina,Erickson,22.2,17.06,22.9,"[25.27, 17.06, 21.71, 24.08, 22.91]",5,0
92nd,Krystal,Kane,23.93,21.54,22.93,"[21.54, 22.57, 21.62, 29.3, 24.6]",5,0
93rd,Heather,Manning,23.02,20.38,22.97,"[25.81, 20.38, 21.38, 24.22, 23.32]",5,0
94th,Roberto,Parsons,21.51,17.11,22.98,"[22.43, 22.56, 'DNF', 23.95, 17.11]",4,1
95th,Gabrielle,Brock,23.32,22.04,22.99,"[23.77, 22.29, 22.91, 22.04, 25.58]",5,0
96th,Michael,Lee,23.61,20.73,22.99,"[23.79, 20.73, 28.36, 21.61, 23.57]",5,0
97th,Brooke,Hunter,22.7,19.45,23.01,"[25.02, 22.97, 21.31, 24.74, 19.45]",5,0
98th,Sarah,Mendoza,23.13,21.99,23.02,"[22.54, 23.19, 24.57, 21.99, 23.33]",5,0
99th,Nicole,Young,23.21,21.81,23.02,"[22.93, 25.14, 21.81, 22.79, 23.35]",5,0
100th,Brittany,Duffy,22.71,19.18,23.02,"[22.01, 19.18, 22.09, 25.31, 24.97]",5,0
101st,Jared,Preston,22.74,20.12,23.07,"[24.36, 23.02, 20.12, 23.28, 22.91]",5,0
102nd,Paul,Norris,23.28,22.3,23.07,"[23.15, 22.3, 22.67, 24.86, 23.38]",5,0
103rd,Jeanette,King,23.01,21.77,23.07,"[23.44, 23.46, 24.04, 22.32, 21.77]",5,0
104th,Marissa,Scott,23.02,21.45,23.11,"[22.17, 24.35, 23.48, 23.67, 21.45]",5,0
105th,Anthony,Smith,23.81,21.85,23.15,"[22.49, 21.85, 27.76, 22.38, 24.59]",5,0
106th,Sarah,Riggs,23.28,22.32,23.18,"[24.53, 22.32, 24.25, 22.41, 22.87]",5,0
107th,James,Martinez,23.37,20.89,23.19,"[20.89, 26.35, 23.83, 22.67, 23.07]",5,0
108th,Marcus,Nguyen,23.26,21.86,23.26,"[22.85, 24.66, 23.3, 23.62, 21.86]",5,0
109th,Jeremy,Fisher,23.44,22.22,23.26,"[25.2, 22.7, 23.37, 23.7, 22.22]",5,0
110th,Thomas,Dalton,22.64,20.75,23.27,"[24.97, 20.75, 22.93, 21.91, 'DNF']",4,1
111th,Jennifer,Chung,23.13,21.65,23.29,"[23.62, 23.52, 22.73, 21.65, 24.15]",5,0
112th,Kayla,Moore,23.39,21.21,23.31,"[23.21, 25.78, 22.71, 21.21, 24.01]",5,0
113th,Keith,Henderson,22.77,19.01,23.34,"[19.01, 22.54, 24.83, 22.96, 24.52]",5,0
114th,Tiffany,Owens,23.09,21.31,23.37,"[23.61, 21.31, 23.05, 24.02, 23.46]",5,0
115th,James,Johnston,23.51,22.05,23.4,"[22.05, 22.54, 23.78, 23.87, 25.32]",5,0
116th,Cory,Warner,23.34,22.32,23.43,"[24.12, 23.51, 23.71, 23.06, 22.32]",5,0
117th,Juan,Davis,23.39,21.1,23.45,"[21.1, 25.5, 23.45, 21.87, 25.04]",5,0
118th,Edward,Johnson,23.8,22.38,23.49,"[23.74, 23.35, 26.14, 22.38, 23.39]",5,0
119th,Brittney,Gonzalez,23.62,20.98,23.5,"[23.28, 20.98, 22.87, 24.35, 26.64]",5,0
120th,Andre,Collins,23.3,19.16,23.51,"[23.86, 19.16, 24.34, 22.32, 26.8]",5,0
121st,Christine,Moran,23.45,22.03,23.59,"[23.1, 23.59, 24.09, 22.03, 24.44]",5,0
122nd,Michael,Davis,23.65,21.32,23.61,"[22.9, 22.54, 21.32, 25.39, 26.09]",5,0
123rd,Lindsay,Reeves,23.15,21.74,23.63,"['DNF', 25.38, 22.81, 21.74, 22.69]",4,1
124th,Danielle,Knapp,23.57,22.64,23.64,"[24.32, 23.65, 24.32, 22.64, 22.95]",5,0
125th,Stephanie,Ward,23.95,23.03,23.65,"[23.06, 24.13, 23.03, 25.8, 23.77]",5,0
126th,Alexis,Valentine,23.77,22.58,23.69,"[22.58, 23.73, 23.84, 25.19, 23.49]",5,0
127th,Cynthia,Silva,23.43,20.66,23.69,"[24.51, 23.8, 20.66, 22.77, 25.42]",5,0
128th,Duane,Smith,23.49,21.88,23.69,"[24.5, 23.83, 23.92, 23.32, 21.88]",5,0
129th,Kirsten,Mendoza,24.01,22.32,23.7,"[23.41, 26.64, 24.42, 22.32, 23.26]",5,0
130th,James,Horne,23.95,21.84,23.71,"[23.8, 21.84, 26.79, 23.06, 24.27]",5,0
131st,Anita,Butler,23.48,21.95,23.72,"[24.32, 21.95, 23.71, 23.16, 24.3]",5,0
132nd,Heather,Ali,23.75,22.66,23.74,"[22.76, 23.77, 24.69, 22.66, 24.88]",5,0
133rd,Julia,Stone,23.43,20.84,23.74,"[24.25, 22.48, 20.84, 25.03, 24.49]",5,0
134th,Brian,Daniel,23.29,19.58,23.77,"[23.69, 22.7, 25.54, 24.93, 19.58]",5,0
135th,Brianna,Gonzalez,23.27,19.16,23.77,"[24.94, 24.44, 19.16, 25.87, 21.92]",5,0
136th,Cheryl,Weaver,23.7,21.53,23.78,"[21.53, 25.66, 23.17, 24.09, 24.08]",5,0
137th,Aaron,Hall,23.71,21.45,23.81,"[25.19, 23.98, 25.68, 22.25, 21.45]",5,0
138th,Daniel,Wade,24.17,22.19,23.81,"[23.79, 23.0, 24.63, 22.19, 27.27]",5,0
139th,Belinda,Carter,23.85,23.34,23.82,"[23.59, 23.34, 24.48, 23.71, 24.15]",5,0
140th,Steven,Martinez,24.15,21.64,23.82,"[23.58, 27.62, 21.64, 22.04, 25.85]",5,0
141st,Shelby,Contreras,23.65,22.16,23.82,"[23.85, 22.16, 24.63, 24.55, 23.05]",5,0
142nd,Richard,Brown,23.37,18.59,23.83,"[18.59, 21.7, 25.46, 24.32, 26.81]",5,0
143rd,Adam,Baker,23.67,20.64,23.83,"[21.98, 20.64, 26.22, 24.23, 25.29]",5,0
144th,Jennifer,Fuller,24.19,22.16,23.84,"[22.16, 22.48, 26.48, 22.55, 27.26]",5,0
145th,Emily,Kim,23.73,21.38,23.87,"[25.66, 22.21, 23.73, 25.68, 21.38]",5,0
146th,Jordan,Chavez,23.97,20.2,23.89,"[24.84, 27.96, 23.36, 23.46, 20.2]",5,0
147th,Gwendolyn,Ford,24.28,22.65,23.89,"[27.11, 24.5, 22.99, 24.17, 22.65]",5,0
148th,Eric,Meadows,23.84,21.65,23.9,"[24.61, 25.85, 21.65, 22.5, 24.58]",5,0
149th,Christopher,Wu,23.95,23.23,23.91,"[23.55, 23.23, 24.8, 24.07, 24.11]",5,0
150th,Alexander,Stewart,23.96,20.81,23.91,"[20.81, 26.25, 21.47, 24.01, 27.29]",5,0
151st,Terrance,Fowler,24.45,22.12,23.91,"[28.41, 22.57, 24.74, 22.12, 24.42]",5,0
152nd,Tammy,Powers,23.57,20.47,23.93,"[21.54, 25.61, 25.22, 25.04, 20.47]",5,0
153rd,Thomas,Gardner,24.14,22.24,23.97,"[26.57, 24.08, 24.62, 23.2, 22.24]",5,0
154th,Stacey,Matthews,24.13,23.37,23.99,"[25.3, 23.37, 23.72, 24.79, 23.45]",5,0
155th,Tony,Bell,23.4,21.61,24.0,"[22.12, 24.02, 25.85, 'DNF', 21.61]",4,1
156th,John,Tucker,23.8,21.18,24.02,"[22.13, 25.74, 25.04, 24.9, 21.18]",5,0
157th,Michelle,Evans,23.72,20.68,24.03,"[20.68, 24.63, 25.78, 24.68, 22.78]",5,0
158th,Kathleen,Ward,23.88,21.63,24.03,"[25.7, 21.63, 24.93, 22.07, 25.1]",5,0
159th,James,Miller,24.07,22.61,24.03,"[23.91, 23.91, 22.61, 24.27, 25.61]",5,0
160th,Wendy,Reyes,24.27,23.06,24.07,"[25.11, 23.44, 23.06, 23.65, 26.1]",5,0
161st,Julie,Barr,23.99,19.39,24.07,"[25.92, 19.39, 28.36, 22.61, 23.67]",5,0
162nd,Melissa,Mason,23.99,22.01,24.14,"[25.54, 22.01, 23.49, 24.01, 24.91]",5,0
163rd,Christina,Marshall,24.43,22.04,24.14,"[22.04, 26.44, 22.14, 27.71, 23.83]",5,0
164th,Caitlin,Nolan,23.6,21.95,24.15,"[24.81, 24.49, 'DNF', 23.15, 21.95]",4,1
165th,Wyatt,Gibson,24.02,21.72,24.16,"[23.61, 21.72, 25.92, 25.15, 23.72]",5,0
166th,Kimberly,Wade,23.44,21.26,24.17,"[21.26, 23.42, 'DNF', 26.97, 22.13]",4,1
167th,Heather,Soto,23.74,22.47,24.17,"[24.03, 24.52, 23.95, 'DNF', 22.47]",4,1
168th,Jennifer,Wyatt,24.13,21.96,24.18,"[23.39, 23.33, 26.16, 21.96, 25.81]",5,0
169th,Vanessa,Williams,24.36,21.79,24.18,"[21.79, 24.59, 22.49, 25.46, 27.42]",5,0
170th,Kimberly,Cook,23.75,19.8,24.19,"[19.8, 26.39, 25.55, 25.71, 21.32]",5,0
171st,Kelly,Knight,23.38,20.92,24.19,"[27.25, 21.06, 20.92, 24.26, 'DNF']",4,1
172nd,Keith,Mosley,24.27,23.66,24.19,"[24.26, 25.12, 23.98, 23.66, 24.34]",5,0
173rd,Kyle,Bailey,24.16,21.39,24.2,"[25.54, 22.02, 25.05, 21.39, 26.79]",5,0
174th,Elizabeth,Taylor,23.84,20.7,24.2,"[25.9, 20.7, 24.01, 25.07, 23.53]",5,0
175th,Jose,Campbell,24.28,21.85,24.21,"[24.87, 21.85, 25.72, 22.05, 26.94]",5,0
176th,Tyler,Roach,24.24,19.74,24.23,"[28.75, 19.74, 28.81, 23.1, 20.84]",5,0
177th,Devon,Fisher,23.54,21.45,24.24,"['DNF', 22.53, 25.39, 24.79, 21.45]",4,1
178th,Nicholas,Smith,24.43,23.08,24.28,"[24.37, 24.05, 24.41, 23.08, 26.23]",5,0
179th,Robert,Sims,24.01,20.88,24.29,"[24.89, 23.38, 24.6, 20.88, 26.29]",5,0
180th,Kimberly,Williams,23.42,18.79,24.31,"[25.0, 23.91, 24.02, 25.38, 18.79]",5,0
181st,Patricia,Ross,24.55,23.12,24.31,"[25.11, 23.12, 23.93, 23.9, 26.67]",5,0
182nd,Matthew,Jefferson,24.36,21.23,24.32,"[27.58, 23.55, 23.16, 26.26, 21.23]",5,0
183rd,Justin,Johnson,24.35,22.35,24.38,"[23.35, 22.35, 26.27, 25.84, 23.94]",5,0
184th,Chelsea,Castillo,24.05,20.28,24.4,"[26.34, 24.42, 20.28, 22.45, 26.77]",5,0
185th,Jennifer,Bass,24.45,22.54,24.41,"[24.08, 22.54, 25.11, 24.04, 26.5]",5,0
186th,Sandra,Collins,24.38,19.56,24.42,"[24.42, 27.0, 19.56, 29.09, 21.84]",5,0
187th,Regina,Cook,24.22,22.08,24.43,"[25.69, 23.7, 25.47, 24.11, 22.08]",5,0
188th,Kayla,James,24.53,22.33,24.44,"[24.17, 27.01, 22.33, 25.75, 23.39]",5,0
189th,Kimberly,Martin,24.39,22.43,24.45,"[26.17, 24.11, 24.07, 25.17, 22.43]",5,0
190th,David,Clarke,24.22,22.54,24.45,"[24.77, 25.22, 24.84, 23.74, 22.54]",5,0
191st,David,Cook,24.34,21.17,24.46,"[21.17, 23.26, 27.15, 25.87, 24.24]",5,0
192nd,Lori,Dixon,25.07,23.3,24.46,"[23.3, 24.58, 24.94, 23.87, 28.69]",5,0
193rd,Ryan,Clark,24.42,22.32,24.47,"[25.09, 22.32, 25.64, 22.68, 26.4]",5,0
194th,Cynthia,Hartman,24.58,24.12,24.49,"[24.22, 24.95, 24.3, 24.12, 25.3]",5,0
195th,Nicole,Thompson,24.23,20.56,24.51,"[20.56, 24.13, 26.56, 22.85, 27.07]",5,0
196th,Jennifer,Lewis,24.57,23.97,24.53,"[25.23, 24.26, 24.1, 25.28, 23.97]",5,0
197th,Jessica,Wallace,24.41,22.76,24.54,"[25.38, 25.63, 22.76, 25.37, 22.87]",5,0
198th,Randall,Campbell,24.03,22.31,24.6,"[25.8, 'DNF', 23.55, 22.31, 24.44]",4,1
199th,Joshua,Figueroa,24.98,22.86,24.61,"[24.08, 22.86, 25.11, 24.64, 28.16]",5,0
200th,Christopher,Garcia,24.36,22.64,24.62,"[24.4, 24.8, 22.64, 24.66, 25.29]",5,0
201st,George,Mcguire,24.51,21.09,24.65,"[21.09, 27.53, 23.5, 25.91, 24.53]",5,0
202nd,Kristen,Williams,24.7,20.97,24.65,"[21.89, 28.57, 26.29, 20.97, 25.78]",5,0
203rd,Jason,Webster,24.57,21.15,24.65,"[27.74, 25.11, 21.15, 24.57, 24.28]",5,0
204th,Jennifer,Brown,24.91,23.12,24.66,"[27.45, 24.52, 23.12, 25.39, 24.06]",5,0
205th,David,Nichols,24.76,22.34,24.68,"[27.44, 26.15, 24.55, 22.34, 23.33]",5,0
206th,Laurie,Palmer,24.7,21.57,24.68,"[24.01, 23.26, 26.76, 27.89, 21.57]",5,0
207th,Elizabeth,Strong,24.14,20.85,24.69,"[24.63, 25.81, 20.85, 25.13, 24.32]",5,0
208th,April,Williams,24.51,22.72,24.7,"[25.74, 24.75, 24.08, 22.72, 25.28]",5,0
209th,Austin,Carpenter,24.21,20.58,24.7,"[20.58, 26.41, 23.04, 26.0, 25.07]",5,0
210th,Amanda,Scott,23.75,20.88,24.71,"[20.88, 23.11, 26.97, 24.04, 'DNF']",4,1
211th,Christopher,White,24.87,23.65,24.75,"[26.43, 25.24, 25.32, 23.68, 23.65]",5,0
212th,Sean,Moore,24.67,23.31,24.76,"[25.08, 23.79, 23.31, 25.79, 25.41]",5,0
213th,Ronald,Ward,24.88,21.95,24.76,"[28.19, 24.06, 21.95, 24.2, 26.01]",5,0
214th,Isaiah,Norton,24.69,22.58,24.78,"[26.53, 25.52, 22.58, 24.96, 23.87]",5,0
215th,Justin,Santos,24.44,19.79,24.8,"[19.79, 24.78, 25.74, 23.89, 28.01]",5,0
216th,Brittany,Rice,24.1,21.89,24.84,"[21.89, 25.22, 'DNF', 22.49, 26.81]",4,1
217th,Julie,Hall,25.31,23.82,24.87,"[24.47, 28.12, 23.82, 24.43, 25.7]",5,0
218th,Beth,Barry,25.14,22.98,24.87,"[22.98, 23.11, 26.79, 28.09, 24.71]",5,0
219th,Mariah,Bowers,25.0,24.07,24.88,"[24.09, 26.26, 25.8, 24.76, 24.07]",5,0
220th,Andrew,Gonzalez,25.38,24.68,24.92,"[27.45, 24.71, 25.21, 24.84, 24.68]",5,0
221st,Lindsay,Harris,25.25,22.86,24.94,"[25.59, 25.75, 28.54, 22.86, 23.47]",5,0
222nd,Joseph,Morton,25.38,24.18,24.95,"[25.77, 27.9, 24.18, 24.8, 24.28]",5,0
223rd,Ashley,Hamilton,25.08,24.25,24.95,"[24.25, 26.28, 24.31, 25.93, 24.62]",5,0
224th,Jeffrey,Turner,25.07,22.61,24.96,"[24.31, 25.35, 27.85, 25.22, 22.61]",5,0
225th,Kathleen,Nguyen,25.08,24.41,24.96,"[26.1, 24.41, 25.18, 24.79, 24.91]",5,0
226th,James,Dickson,24.49,21.25,24.96,"[21.25, 26.29, 24.4, 25.48, 24.99]",5,0
227th,Mary,Holt,24.76,24.07,24.99,"['DNF', 24.17, 25.95, 24.86, 24.07]",4,1
228th,Kenneth,Barton,25.01,23.47,25.0,"[26.6, 25.55, 25.46, 23.98, 23.47]",5,0
229th,Anthony,Elliott,24.87,22.26,25.02,"[22.26, 27.02, 27.01, 24.75, 23.31]",5,0
230th,Frank,Herrera,25.57,23.41,25.02,"[25.79, 23.41, 24.79, 24.47, 29.43]",5,0
231st,Daniel,Hoffman,25.23,23.44,25.04,"[27.58, 24.36, 25.33, 23.44, 25.42]",5,0
232nd,Kristi,Reeves,24.5,20.67,25.05,"[26.71, 24.05, 26.55, 24.55, 20.67]",5,0
233rd,Rebecca,Palmer,25.44,22.78,25.06,"[22.78, 24.87, 29.19, 24.18, 26.14]",5,0
234th,Paul,Potter,25.27,24.28,25.08,"[24.28, 24.63, 24.83, 25.79, 26.85]",5,0
235th,David,Lee,25.22,23.95,25.08,"[26.87, 25.62, 25.55, 24.08, 23.95]",5,0
236th,Patrick,Taylor,25.26,23.08,25.09,"[27.95, 23.08, 24.67, 25.91, 24.68]",5,0
237th,Kimberly,Sawyer,25.25,24.14,25.1,"[25.57, 25.42, 24.14, 26.76, 24.32]",5,0
238th,Lori,Sutton,24.97,21.79,25.11,"[27.73, 24.57, 25.21, 25.56, 21.79]",5,0
239th,Benjamin,Bowen,25.57,24.78,25.11,"[25.41, 25.06, 24.85, 27.78, 24.78]",5,0
240th,Jeff,Miller,25.09,22.92,25.12,"[24.68, 22.92, 25.83, 27.15, 24.84]",5,0
241st,Stephanie,Robinson,25.44,23.67,25.12,"[23.96, 25.37, 28.17, 26.04, 23.67]",5,0
242nd,Matthew,Mendoza,25.85,23.99,25.14,"[26.06, 24.74, 24.62, 29.87, 23.99]",5,0
243rd,Derek,Butler,25.03,23.13,25.14,"[23.76, 25.86, 23.13, 25.81, 26.6]",5,0
244th,John,Carter,24.75,23.56,25.14,"['DNF', 23.56, 26.3, 24.11, 25.02]",4,1
245th,Heidi,Grant,25.0,22.51,25.15,"[27.05, 25.58, 22.51, 24.02, 25.84]",5,0
246th,Angela,Jordan,24.45,20.1,25.15,"[26.69, 25.86, 20.1, 24.92, 24.67]",5,0
247th,Tiffany,Perez,24.91,22.04,25.18,"[27.0, 24.06, 26.56, 22.04, 24.93]",5,0
248th,Tyler,Jennings,25.21,22.98,25.18,"[27.5, 24.03, 22.98, 26.17, 25.35]",5,0
