Rank,First Name,Last Name,AO5,AO5 Times,Event Num,Event
21st,Cheryl,Jackson,19.18,"[16.19, 21.0, 16.53, 22.46, 20.01]",S1E1,The Milwaukee Cup Sponsored by GAN
22nd,David,Heath,19.21,"[21.8, 18.05, 19.44, 16.99, 20.15]",S1E2,The Bangkok Cup Sponsored by GAN
23rd,Bill,Meadows,19.24,"[18.77, 17.76, 20.15, 20.08, 18.87]",S1E2,The Bangkok Cup Sponsored by GAN
24th,Kimberly,White,19.28,"[19.49, 20.21, 19.1, 19.26, 18.32]",S1E1,The Milwaukee Cup Sponsored by GAN
25th,Alyssa,Murillo,19.29,"[18.76, 18.56, 16.45, 20.54, 24.83]",S1E1,The Milwaukee Cup Sponsored by GAN
26th,Antonio,Valencia,19.3,"[18.66, 18.77, 19.75, 19.37, 23.41]",S1E2,The Bangkok Cup Sponsored by GAN
27th,Elizabeth,Williams,19.37,"[18.6, 19.07, 22.16, 18.95, 20.08]",S1E1,The Milwaukee Cup Sponsored by GAN
28th,Julia,Lamb,19.39,"[19.74, 22.9, 18.56, 19.86, 18.46]",S1E1,The Milwaukee Cup Sponsored by GAN
29th,Stephanie,Cain,19.43,"[17.43, 20.86, 25.44, 18.46, 18.98]",S1E1,The Milwaukee Cup Sponsored by GAN
30th,Antonio,Valencia,19.51,"[19.1, 19.94, 16.19, 20.76, 19.49]",S1E1,The Milwaukee Cup Sponsored by GAN
31st,Kimberly,White,19.58,"[19.25, 20.07, 19.99, 19.5, 18.89]",S1E1,The Milwaukee Cup Sponsored by GAN
32nd,Antonio,Valencia,19.59,"[22.12, 17.36, 19.25, 20.9, 18.62]",S1E1,The Milwaukee Cup Sponsored by GAN
33rd,Denise,Harrison,19.63,"[17.87, 18.77, 19.78, 20.33, 21.22]",S1E1,The Milwaukee Cup Sponsored by GAN
34th,Antonio,Valencia,19.68,"[16.0, 22.3, 18.01, 20.45, 20.58]",S1E1,The Milwaukee Cup Sponsored by GAN
35th,Brett,Hill,19.69,"[17.52, 20.66, 19.12, 20.0, 19.96]",S1E2,The Bangkok Cup Sponsored by GAN
36th,Cynthia,Silva,19.74,"[19.95, 27.12, 18.34, 18.97, 20.29]",S1E1,The Milwaukee Cup Sponsored by GAN
37th,Tanya,Lee,19.74,"[17.49, 21.63, 18.63, 18.97, 23.27]",S1E2,The Bangkok Cup Sponsored by GAN
38th,Eric,Graham,19.75,"[16.7, 21.82, 19.55, 18.0, 21.71]",S1E2,The Bangkok Cup Sponsored by GAN
39th,Kimberly,White,19.75,"[21.17, 17.52, 20.5, 19.85, 18.9]",S1E2,The Bangkok Cup Sponsored by GAN
40th,Kimberly,White,19.78,"[20.99, 21.96, 19.33, 18.06, 19.03]",S1E2,The Bangkok Cup Sponsored by GAN
41st,Cheryl,Jackson,19.78,"[18.32, 19.91, 21.12, 22.91, 14.01]",S1E2,The Bangkok Cup Sponsored by GAN
42nd,Timothy,Mcconnell,19.84,"[19.17, 20.44, 19.01, 19.92, 21.5]",S1E2,The Bangkok Cup Sponsored by GAN
43rd,Robert,Young,19.85,"[17.19, 22.2, 19.64, 22.71, 17.72]",S1E1,The Milwaukee Cup Sponsored by GAN
44th,Elizabeth,Williams,19.92,"[18.86, 16.0, 20.37, 26.27, 20.54]",S1E1,The Milwaukee Cup Sponsored by GAN
45th,Maggie,Silver,19.92,"[21.15, 21.36, 19.33, 19.27, 19.02]",S1E1,The Milwaukee Cup Sponsored by GAN
46th,Conor,Evans,19.93,"[21.73, 18.29, 19.01, 26.77, 19.05]",S1E1,The Milwaukee Cup Sponsored by GAN
47th,Brett,Hill,19.94,"[19.7, 18.35, 19.39, 20.74, 22.34]",S1E1,The Milwaukee Cup Sponsored by GAN
48th,Ryan,Stoyko,19.96,"[20.2, 21.62, 20.18, 18.76, 19.51]",S1E2,The Bangkok Cup Sponsored by GAN
49th,Emerson,Tichenor,20.0,"[21.53, 20.31, 19.34, 20.34, 18.34]",S1E2,The Bangkok Cup Sponsored by GAN
50th,Robert,Andrews,20.01,"[17.88, 22.62, 20.77, 20.63, 18.63]",S1E1,The Milwaukee Cup Sponsored by GAN
51st,Robert,Andrews,20.01,"[19.87, 20.01, 17.63, 20.8, 20.14]",S1E2,The Bangkok Cup Sponsored by GAN
52nd,Eric,Graham,20.03,"[19.64, 23.55, 19.98, 17.94, 20.46]",S1E2,The Bangkok Cup Sponsored by GAN
53rd,Daria,Buchkovsky,20.04,"[23.5, 17.35, 19.25, 21.72, 19.14]",S1E2,The Bangkok Cup Sponsored by GAN
54th,Robin,Wells,20.06,"[22.23, 14.59, 20.81, 17.15, 23.07]",S1E1,The Milwaukee Cup Sponsored by GAN
55th,Maria,Turner,20.06,"[23.88, 18.97, 17.98, 19.93, 21.28]",S1E2,The Bangkok Cup Sponsored by GAN
56th,Kimberly,White,20.06,"[20.77, 20.3, 16.93, 20.07, 19.82]",S1E2,The Bangkok Cup Sponsored by GAN
57th,Eric,Graham,20.09,"[22.04, 15.91, 16.29, 21.95, 23.76]",S1E1,The Milwaukee Cup Sponsored by GAN
58th,Robert,Andrews,20.09,"[19.51, 20.62, 19.52, 20.13, 21.51]",S1E2,The Bangkok Cup Sponsored by GAN
59th,Jason,Martin,20.09,"[18.61, 22.55, 18.77, 18.96, 22.72]",S1E2,The Bangkok Cup Sponsored by GAN
60th,Kimberly,White,20.12,"[19.98, 17.46, 22.29, 19.63, 20.75]",S1E1,The Milwaukee Cup Sponsored by GAN
61st,Alyssa,Murillo,20.15,"[19.73, 19.2, 20.98, 20.1, 20.62]",S1E2,The Bangkok Cup Sponsored by GAN
62nd,Robert,Andrews,20.17,"[23.16, 18.1, 21.93, 20.49, 16.87]",S1E1,The Milwaukee Cup Sponsored by GAN
63rd,Maggie,Silver,20.2,"[19.66, 20.38, 22.88, 20.57, 19.59]",S1E2,The Bangkok Cup Sponsored by GAN
64th,Andrew,Bradford,20.2,"[21.08, 19.31, 21.39, 18.48, 20.21]",S1E2,The Bangkok Cup Sponsored by GAN
65th,Andrew,Bradford,20.22,"[25.68, 20.14, 19.16, 20.21, 20.3]",S1E2,The Bangkok Cup Sponsored by GAN
66th,Cheryl,Jackson,20.22,"[20.27, 20.41, 19.99, 17.87, 23.41]",S1E2,The Bangkok Cup Sponsored by GAN
67th,Eric,Graham,20.23,"[18.13, 25.34, 19.35, 21.44, 19.89]",S1E1,The Milwaukee Cup Sponsored by GAN
68th,Robert,Andrews,20.24,"[20.49, 20.63, 22.08, 18.64, 19.6]",S1E1,The Milwaukee Cup Sponsored by GAN
69th,Antonio,Valencia,20.24,"[20.71, 19.62, 21.34, 20.39, 17.18]",S1E1,The Milwaukee Cup Sponsored by GAN
70th,David,Long,20.24,"[18.85, 21.92, 20.71, 21.16, 16.44]",S1E2,The Bangkok Cup Sponsored by GAN
71st,Robert,Young,20.24,"[21.05, 22.85, 16.83, 25.05, 16.53]",S1E2,The Bangkok Cup Sponsored by GAN
72nd,Julia,Lamb,20.24,"[21.93, 20.1, 22.81, 18.7, 18.37]",S1E2,The Bangkok Cup Sponsored by GAN
73rd,Kimberly,White,20.25,"[18.67, 16.46, 21.33, 22.62, 20.75]",S1E2,The Bangkok Cup Sponsored by GAN
74th,Maggie,Silver,20.26,"[19.41, 20.55, 20.81, 18.4, 21.64]",S1E2,The Bangkok Cup Sponsored by GAN
75th,Tiffany,Dixon,20.3,"[20.04, 20.19, 25.74, 19.15, 20.68]",S1E2,The Bangkok Cup Sponsored by GAN
76th,Eric,Graham,20.35,"[20.45, 20.77, 21.49, 19.8, 19.83]",S1E1,The Milwaukee Cup Sponsored by GAN
77th,Antonio,Valencia,20.36,"[21.99, 16.56, 19.38, 21.43, 20.27]",S1E1,The Milwaukee Cup Sponsored by GAN
78th,Steven,Carpenter,20.38,"[20.68, 20.52, 19.52, 19.95, 21.09]",S1E1,The Milwaukee Cup Sponsored by GAN
79th,David,Heath,20.38,"[22.21, 20.95, 20.07, 18.66, 20.13]",S1E1,The Milwaukee Cup Sponsored by GAN
80th,Maggie,Silver,20.41,"[21.23, 23.82, 21.0, 19.01, 18.2]",S1E1,The Milwaukee Cup Sponsored by GAN
81st,Michele,Cordova,20.42,"[23.13, 18.76, 22.26, 19.23, 19.78]",S1E1,The Milwaukee Cup Sponsored by GAN
82nd,Stephanie,Cain,20.42,"[22.32, 19.14, 'DNF', 19.8, 18.85]",S1E2,The Bangkok Cup Sponsored by GAN
83rd,David,Heath,20.45,"[20.76, 20.17, 18.84, 20.43, 21.49]",S1E2,The Bangkok Cup Sponsored by GAN
84th,Eric,Graham,20.46,"[20.1, 25.2, 20.35, 20.18, 20.84]",S1E2,The Bangkok Cup Sponsored by GAN
85th,Sarah,Torres,20.47,"[20.65, 23.91, 19.65, 21.11, 19.41]",S1E1,The Milwaukee Cup Sponsored by GAN
86th,Elizabeth,Williams,20.48,"[20.47, 21.16, 20.26, 18.11, 20.71]",S1E1,The Milwaukee Cup Sponsored by GAN
87th,Brett,Hill,20.49,"[22.33, 18.4, 20.32, 21.4, 19.75]",S1E2,The Bangkok Cup Sponsored by GAN
88th,Julia,Lamb,20.51,"[16.97, 20.07, 21.04, 20.42, 23.45]",S1E1,The Milwaukee Cup Sponsored by GAN
89th,Alyssa,Murillo,20.54,"[17.54, 21.82, 20.6, 21.31, 19.71]",S1E1,The Milwaukee Cup Sponsored by GAN
90th,Alyssa,Murillo,20.54,"[24.46, 24.59, 17.88, 18.42, 18.74]",S1E1,The Milwaukee Cup Sponsored by GAN
91st,Brett,Hill,20.54,"[18.81, 21.84, 24.58, 20.52, 19.25]",S1E1,The Milwaukee Cup Sponsored by GAN
92nd,Kimberly,Williams,20.54,"[22.64, 21.31, 17.52, 18.61, 21.69]",S1E1,The Milwaukee Cup Sponsored by GAN
93rd,Tracy,Kelley,20.55,"[21.3, 19.59, 19.54, 20.76, 22.59]",S1E1,The Milwaukee Cup Sponsored by GAN
94th,Mark,Williams,20.58,"[19.67, 19.89, 19.0, 22.18, 24.22]",S1E2,The Bangkok Cup Sponsored by GAN
95th,Jacob,Garcia,20.6,"[18.59, 17.85, 22.81, 20.41, 23.82]",S1E1,The Milwaukee Cup Sponsored by GAN
96th,Kimberly,White,20.6,"[18.37, 21.34, 19.71, 21.51, 20.75]",S1E2,The Bangkok Cup Sponsored by GAN
97th,David,Long,20.62,"[22.38, 19.93, 22.37, 19.45, 19.56]",S1E1,The Milwaukee Cup Sponsored by GAN
98th,Clinton,Buck,20.62,"[18.98, 23.69, 21.16, 20.17, 20.54]",S1E2,The Bangkok Cup Sponsored by GAN
99th,Robert,Young,20.63,"[15.81, 28.79, 20.13, 21.36, 20.39]",S1E1,The Milwaukee Cup Sponsored by GAN
100th,Kimberly,White,20.64,"[16.19, 22.97, 21.94, 20.63, 19.34]",S1E1,The Milwaukee Cup Sponsored by GAN
