Rank,First Name,Last Name,Time,Event Num,Event
54th,Robert,Young,14.85,S1E3,The Las Vegas Big Double in United States
55th,Kimberly,White,14.85,S1E11,Season 1 Championship in Manhattan
56th,Antonio,Valencia,14.86,S2E1,The Japan Open in Tokyo
57th,Tanya,Lee,14.87,S1E1,The Milwaukee Cup Sponsored by GAN
58th,Tanya,Lee,14.91,S1E5,The South Bend Open Tournament in United States
59th,Daria,Buchkovsky,14.93,S2E2,The Wuhan Open Tournament in China
60th,Conor,Evans,14.94,S1E2,The Bangkok Cup Sponsored by GAN
61st,Eric,Graham,14.98,S1E10,The Moscow Cup Sponsored by GAN
62nd,Robin,Wells,14.98,S2E3,The Manchester Big Double
63rd,Antonio,Valencia,14.99,S2E2,The Wuhan Open Tournament in China
64th,Tanya,Lee,15.0,S1E11,Season 1 Championship in Manhattan
65th,Bradley,Cross,15.07,S2E1,The Japan Open in Tokyo
66th,Jacob,Garcia,15.09,S2E1,The Japan Open in Tokyo
67th,Michelle,Hart,15.1,S2E1,The Japan Open in Tokyo
68th,Tanya,Lee,15.11,S2E4,The MoYu Louisville Cup
69th,Cheryl,Jackson,15.11,S2E5,Bangkok Open
70th,Henry,Hunter,15.15,S1E1,The Milwaukee Cup Sponsored by GAN
71st,Tanya,Lee,15.15,S1E11,Season 1 Championship in Manhattan
72nd,Cheryl,Jackson,15.15,S2E2,The Wuhan Open Tournament in China
73rd,Conor,Evans,15.16,S1E1,The Milwaukee Cup Sponsored by GAN
74th,Robert,Young,15.16,S1E3,The Las Vegas Big Double in United States
75th,Robert,Young,15.17,S1E2,The Bangkok Cup Sponsored by GAN
76th,Emerson,Tichenor,15.18,S1E1,The Milwaukee Cup Sponsored by GAN
77th,Eric,Graham,15.19,S1E8,The Ho Chi Minh City Cubing Invitational
78th,Tanya,Lee,15.21,S1E1,The Milwaukee Cup Sponsored by GAN
79th,Tanya,Lee,15.21,S2E1,The Japan Open in Tokyo
80th,Bradley,Cross,15.22,S2E5,Bangkok Open
81st,Robert,Andrews,15.23,S2E3,The Manchester Big Double
82nd,Tiffany,Dixon,15.23,S2E4,The MoYu Louisville Cup
83rd,Conor,Evans,15.24,S2E3,The Manchester Big Double
84th,Conor,Evans,15.25,S1E6,The Nagoya Big Double
85th,Stephanie,Cain,15.26,S2E3,The Manchester Big Double
86th,Denise,Harrison,15.26,S2E4,The MoYu Louisville Cup
87th,Daria,Buchkovsky,15.26,S2E5,Bangkok Open
88th,Daria,Buchkovsky,15.27,S1E5,The South Bend Open Tournament in United States
89th,Stephanie,Cain,15.27,S2E2,The Wuhan Open Tournament in China
90th,Eric,Graham,15.28,S2E2,The Wuhan Open Tournament in China
91st,Michelle,Hart,15.33,S1E3,The Las Vegas Big Double in United States
92nd,Robert,Young,15.33,S1E8,The Ho Chi Minh City Cubing Invitational
93rd,Tanya,Lee,15.36,S2E5,Bangkok Open
94th,Robert,Young,15.39,S1E4,The Johannesburg Open Tournament in South Africa
95th,Robin,Wells,15.4,S2E1,The Japan Open in Tokyo
96th,Michelle,Hart,15.41,S1E7,The Shanghai Cup Sponsored by GAN
97th,Robert,Andrews,15.42,S1E7,The Shanghai Cup Sponsored by GAN
98th,Tanya,Lee,15.42,S1E9,The Manchester Cubing Invitational
99th,Eric,Graham,15.45,S2E4,The MoYu Louisville Cup
100th,Antonio,Valencia,15.46,S1E8,The Ho Chi Minh City Cubing Invitational
