Rank,First Name,Last Name,Time,Event Num,Event
52nd,Conor,Evans,14.94,S1E2,The Bangkok Cup Sponsored by GAN
53rd,Eric,Graham,14.98,S1E10,The Moscow Cup Sponsored by GAN
54th,Robin,Wells,14.98,S2E3,The Manchester Big Double
55th,Antonio,Valencia,14.99,S2E2,The Wuhan Open Tournament in China
56th,Tanya,Lee,15.0,S1E11,Season 1 Championship in Manhattan
57th,Bradley,Cross,15.07,S2E1,The Japan Open in Tokyo
58th,Jacob,Garcia,15.09,S2E1,The Japan Open in Tokyo
59th,Michelle,Hart,15.1,S2E1,The Japan Open in Tokyo
60th,Tanya,Lee,15.11,S2E4,The MoYu Louisville Cup
61st,Henry,Hunter,15.15,S1E1,The Milwaukee Cup Sponsored by GAN
62nd,Tanya,Lee,15.15,S1E11,Season 1 Championship in Manhattan
63rd,Cheryl,Jackson,15.15,S2E2,The Wuhan Open Tournament in China
64th,Conor,Evans,15.16,S1E1,The Milwaukee Cup Sponsored by GAN
65th,Robert,Young,15.16,S1E3,The Las Vegas Big Double in United States
66th,Robert,Young,15.17,S1E2,The Bangkok Cup Sponsored by GAN
67th,Emerson,Tichenor,15.18,S1E1,The Milwaukee Cup Sponsored by GAN
68th,Eric,Graham,15.19,S1E8,The Ho Chi Minh City Cubing Invitational
69th,Tanya,Lee,15.21,S1E1,The Milwaukee Cup Sponsored by GAN
70th,Tanya,Lee,15.21,S2E1,The Japan Open in Tokyo
71st,Robert,Andrews,15.23,S2E3,The Manchester Big Double
72nd,Tiffany,Dixon,15.23,S2E4,The MoYu Louisville Cup
73rd,Conor,Evans,15.24,S2E3,The Manchester Big Double
74th,Conor,Evans,15.25,S1E6,The Nagoya Big Double
75th,Stephanie,Cain,15.26,S2E3,The Manchester Big Double
76th,Denise,Harrison,15.26,S2E4,The MoYu Louisville Cup
77th,Daria,Buchkovsky,15.27,S1E5,The South Bend Open Tournament in United States
78th,Stephanie,Cain,15.27,S2E2,The Wuhan Open Tournament in China
79th,Eric,Graham,15.28,S2E2,The Wuhan Open Tournament in China
80th,Michelle,Hart,15.33,S1E3,The Las Vegas Big Double in United States
81st,Robert,Young,15.33,S1E8,The Ho Chi Minh City Cubing Invitational
82nd,Robert,Young,15.39,S1E4,The Johannesburg Open Tournament in South Africa
83rd,Robin,Wells,15.4,S2E1,The Japan Open in Tokyo
84th,Michelle,Hart,15.41,S1E7,The Shanghai Cup Sponsored by GAN
85th,Robert,Andrews,15.42,S1E7,The Shanghai Cup Sponsored by GAN
86th,Tanya,Lee,15.42,S1E9,The Manchester Cubing Invitational
87th,Eric,Graham,15.45,S2E4,The MoYu Louisville Cup
88th,Antonio,Valencia,15.46,S1E8,The Ho Chi Minh City Cubing Invitational
89th,Robert,Young,15.47,S1E3,The Las Vegas Big Double in United States
90th,Emerson,Tichenor,15.47,S1E8,The Ho Chi Minh City Cubing Invitational
91st,Bradley,Cross,15.47,S2E1,The Japan Open in Tokyo
92nd,Antonio,Valencia,15.48,S2E2,The Wuhan Open Tournament in China
93rd,Stephanie,Cain,15.48,S2E2,The Wuhan Open Tournament in China
94th,Ryan,Stoyko,15.52,S1E3,The Las Vegas Big Double in United States
95th,Daria,Buchkovsky,15.52,S1E3,The Las Vegas Big Double in United States
96th,Emerson,Tichenor,15.52,S1E7,The Shanghai Cup Sponsored by GAN
97th,Tanya,Lee,15.53,S2E4,The MoYu Louisville Cup
98th,Tanya,Lee,15.54,S1E1,The Milwaukee Cup Sponsored by GAN
99th,Bradley,Cross,15.54,S2E1,The Japan Open in Tokyo
100th,Stephanie,Cain,15.54,S2E3,The Manchester Big Double
