Rank,First Name,Last Name,AO5,AO5 Times,Event Num,Event
88th,Maggie,Silver,18.72,"[18.37, 18.17, 19.62, 17.44, 20.5]",S1E6,The Nagoya Big Double
89th,Tanya,Lee,18.73,"[21.92, 19.71, 18.14, 17.01, 18.35]",S1E8,The Ho Chi Minh City Cubing Invitational
90th,Robert,Young,18.74,"[20.17, 15.61, 16.39, 19.66, 20.38]",S2E1,The Japan Open in Tokyo
91st,Eric,Graham,18.75,"[17.83, 21.04, 17.37, 17.22, 22.54]",S1E9,The Manchester Cubing Invitational
92nd,Tanya,Lee,18.76,"['DNF', 21.0, 17.13, 16.7, 18.16]",S1E8,The Ho Chi Minh City Cubing Invitational
93rd,Kimberly,White,18.79,"[18.13, 18.44, 20.78, 17.39, 19.81]",S1E7,The Shanghai Cup Sponsored by GAN
94th,Alyssa,Murillo,18.81,"[17.32, 21.45, 19.68, 17.01, 19.44]",S1E9,The Manchester Cubing Invitational
95th,Robert,Andrews,18.82,"[16.19, 17.53, 19.59, 19.34, 20.39]",S1E8,The Ho Chi Minh City Cubing Invitational
96th,Cheryl,Jackson,18.82,"[20.16, 18.85, 17.49, 19.25, 18.36]",S2E1,The Japan Open in Tokyo
97th,Bradley,Cross,18.84,"[21.37, 17.87, 19.45, 18.07, 19.01]",S2E1,The Japan Open in Tokyo
98th,Robert,Andrews,18.84,"[16.46, 23.07, 18.58, 18.35, 19.6]",S2E1,The Japan Open in Tokyo
99th,Jacob,Garcia,18.84,"[21.0, 17.67, 18.71, 20.14, 17.22]",S2E2,The Wuhan Open Tournament in China
100th,Maggie,Silver,18.85,"[22.77, 18.09, 18.61, 17.72, 19.86]",S2E4,The MoYu Louisville Cup
