Rank,First Name,Last Name,AO5,AO5 Times,Event Num,Event
22nd,Robert,Young,18.47,"[18.4, 18.89, 19.71, 14.62, 18.12]",S1E3,The Las Vegas Big Double in United States
23rd,Tanya,Lee,18.5,"[17.4, 15.65, 23.18, 16.37, 21.74]",S1E3,The Las Vegas Big Double in United States
24th,Kimberly,White,18.54,"[20.17, 17.64, 17.82, 17.62, 22.65]",S1E6,The Nagoya Big Double
25th,Robert,Andrews,18.55,"[17.42, 19.98, 18.26, 16.41, 22.75]",S1E2,The Bangkok Cup Sponsored by GAN
26th,Kimberly,White,18.56,"[16.95, 22.96, 16.99, 16.85, 21.75]",S1E2,The Bangkok Cup Sponsored by GAN
27th,Antonio,Valencia,18.56,"[17.63, 20.14, 20.75, 17.52, 17.91]",S1E7,The Shanghai Cup Sponsored by GAN
28th,Tanya,Lee,18.58,"[15.99, 18.96, 18.6, 20.28, 18.19]",S1E6,The Nagoya Big Double
29th,Tanya,Lee,18.62,"[18.8, 'DNF', 17.59, 19.0, 18.05]",S1E1,The Milwaukee Cup Sponsored by GAN
30th,Tanya,Lee,18.63,"[17.17, 15.54, 19.78, 18.95, 20.57]",S1E1,The Milwaukee Cup Sponsored by GAN
31st,Antonio,Valencia,18.63,"[19.15, 17.92, 18.53, 21.3, 18.2]",S1E7,The Shanghai Cup Sponsored by GAN
32nd,Jacob,Garcia,18.64,"[19.58, 19.08, 19.03, 17.31, 17.8]",S1E3,The Las Vegas Big Double in United States
33rd,Stephanie,Cain,18.65,"[21.58, 15.89, 15.67, 18.48, 22.9]",S1E7,The Shanghai Cup Sponsored by GAN
34th,Robert,Andrews,18.66,"[19.28, 20.95, 16.83, 19.43, 17.26]",S1E6,The Nagoya Big Double
35th,Conor,Evans,18.67,"[18.3, 24.57, 12.37, 15.25, 22.46]",S1E6,The Nagoya Big Double
36th,Tanya,Lee,18.69,"[18.37, 16.82, 18.56, 20.74, 19.13]",S1E2,The Bangkok Cup Sponsored by GAN
37th,Tanya,Lee,18.71,"[19.3, 19.28, 18.31, 18.55, 16.02]",S1E1,The Milwaukee Cup Sponsored by GAN
38th,Maggie,Silver,18.72,"[18.37, 18.17, 19.62, 17.44, 20.5]",S1E6,The Nagoya Big Double
39th,Kimberly,White,18.79,"[18.13, 18.44, 20.78, 17.39, 19.81]",S1E7,The Shanghai Cup Sponsored by GAN
40th,Robert,Young,18.87,"[15.17, 20.03, 16.5, 20.78, 20.09]",S1E2,The Bangkok Cup Sponsored by GAN
41st,Elizabeth,Williams,18.89,"[20.37, 16.47, 19.4, 16.89, 20.88]",S1E1,The Milwaukee Cup Sponsored by GAN
42nd,Tanya,Lee,18.91,"[14.91, 16.79, 17.92, 22.01, 22.39]",S1E5,The South Bend Open Tournament in United States
43rd,Cheryl,Jackson,18.92,"[16.41, 19.44, 'DNF', 18.38, 18.93]",S1E3,The Las Vegas Big Double in United States
44th,Antonio,Valencia,18.95,"[19.94, 23.51, 18.5, 18.42, 16.78]",S1E2,The Bangkok Cup Sponsored by GAN
45th,Michelle,Hart,18.96,"[18.03, 26.51, 19.26, 18.5, 19.11]",S1E3,The Las Vegas Big Double in United States
46th,Cheryl,Jackson,18.99,"[20.81, 18.33, 15.77, 20.65, 17.98]",S1E2,The Bangkok Cup Sponsored by GAN
47th,Tanya,Lee,18.99,"[17.09, 21.11, 14.51, 18.78, 21.8]",S1E2,The Bangkok Cup Sponsored by GAN
48th,Tanya,Lee,19.0,"[20.52, 18.87, 20.14, 17.98, 17.45]",S1E4,The Johannesburg Open Tournament in South Africa
49th,Antonio,Valencia,19.02,"[21.06, 18.44, 18.16, 19.35, 19.27]",S1E5,The South Bend Open Tournament in United States
50th,Robert,Andrews,19.03,"[17.98, 23.07, 20.74, 17.45, 18.38]",S1E6,The Nagoya Big Double
51st,Antonio,Valencia,19.05,"[18.31, 20.47, 18.36, 16.4, 21.44]",S1E1,The Milwaukee Cup Sponsored by GAN
52nd,Robert,Young,19.05,"[22.65, 25.08, 16.98, 15.47, 17.51]",S1E3,The Las Vegas Big Double in United States
53rd,Tanya,Lee,19.06,"[19.63, 16.58, 21.95, 19.21, 18.34]",S1E2,The Bangkok Cup Sponsored by GAN
54th,Maggie,Silver,19.07,"[23.02, 16.03, 20.04, 18.12, 19.04]",S1E3,The Las Vegas Big Double in United States
55th,Stephanie,Cain,19.07,"[17.42, 17.62, 22.14, 25.71, 17.45]",S1E4,The Johannesburg Open Tournament in South Africa
56th,Maggie,Silver,19.13,"[17.8, 19.63, 19.96, 16.14, 21.52]",S1E5,The South Bend Open Tournament in United States
57th,Eric,Graham,19.14,"[24.21, 18.91, 18.27, 19.69, 18.81]",S1E5,The South Bend Open Tournament in United States
58th,Sarah,Torres,19.15,"[17.73, 21.17, 22.29, 18.55, 17.32]",S1E7,The Shanghai Cup Sponsored by GAN
59th,Antonio,Valencia,19.16,"[17.55, 18.69, 19.17, 19.63, 21.6]",S1E6,The Nagoya Big Double
60th,Eric,Graham,19.17,"[17.87, 19.09, 21.79, 19.54, 18.88]",S1E1,The Milwaukee Cup Sponsored by GAN
61st,Maggie,Silver,19.17,"[19.4, 20.14, 18.52, 19.58, 17.43]",S1E2,The Bangkok Cup Sponsored by GAN
62nd,Cheryl,Jackson,19.18,"[16.19, 21.0, 16.53, 22.46, 20.01]",S1E1,The Milwaukee Cup Sponsored by GAN
63rd,Antonio,Valencia,19.18,"[17.53, 16.45, 21.23, 20.91, 19.1]",S1E4,The Johannesburg Open Tournament in South Africa
64th,Robert,Andrews,19.19,"[20.33, 19.92, 18.88, 18.56, 18.77]",S1E5,The South Bend Open Tournament in United States
65th,Tammy,Powers,19.2,"[17.27, 19.3, 18.24, 22.78, 20.05]",S1E3,The Las Vegas Big Double in United States
66th,David,Heath,19.21,"[21.8, 18.05, 19.44, 16.99, 20.15]",S1E2,The Bangkok Cup Sponsored by GAN
67th,Robert,Young,19.22,"[21.07, 20.47, 19.36, 14.85, 17.82]",S1E3,The Las Vegas Big Double in United States
68th,Maggie,Silver,19.22,"[18.95, 'DNF', 19.2, 18.65, 19.5]",S1E4,The Johannesburg Open Tournament in South Africa
69th,Maggie,Silver,19.22,"[17.04, 23.08, 16.84, 19.43, 21.2]",S1E5,The South Bend Open Tournament in United States
70th,Antonio,Valencia,19.22,"['DNF', 16.67, 19.31, 20.23, 18.12]",S1E5,The South Bend Open Tournament in United States
71st,Tanya,Lee,19.22,"[18.83, 18.7, 19.59, 22.38, 19.23]",S1E7,The Shanghai Cup Sponsored by GAN
72nd,Tanya,Lee,19.23,"[22.49, 17.25, 18.24, 21.25, 18.19]",S1E5,The South Bend Open Tournament in United States
73rd,Bill,Meadows,19.24,"[18.77, 17.76, 20.15, 20.08, 18.87]",S1E2,The Bangkok Cup Sponsored by GAN
74th,Stephanie,Cain,19.25,"[17.06, 21.98, 21.58, 18.01, 18.17]",S1E6,The Nagoya Big Double
75th,Jason,Martin,19.26,"[19.02, 20.2, 18.55, 21.34, 15.85]",S1E4,The Johannesburg Open Tournament in South Africa
76th,Kimberly,White,19.28,"[19.49, 20.21, 19.1, 19.26, 18.32]",S1E1,The Milwaukee Cup Sponsored by GAN
77th,Eric,Graham,19.28,"[17.95, 16.57, 21.64, 24.05, 18.25]",S1E5,The South Bend Open Tournament in United States
78th,Alyssa,Murillo,19.29,"[18.76, 18.56, 16.45, 20.54, 24.83]",S1E1,The Milwaukee Cup Sponsored by GAN
79th,Antonio,Valencia,19.3,"[18.66, 18.77, 19.75, 19.37, 23.41]",S1E2,The Bangkok Cup Sponsored by GAN
80th,Kimberly,White,19.31,"[18.3, 21.3, 20.27, 19.35, 17.94]",S1E5,The South Bend Open Tournament in United States
81st,Robert,Andrews,19.34,"[19.83, 22.51, 18.33, 18.95, 19.23]",S1E4,The Johannesburg Open Tournament in South Africa
82nd,Brett,Hill,19.35,"[19.49, 18.25, 20.34, 20.32, 18.24]",S1E4,The Johannesburg Open Tournament in South Africa
83rd,Elizabeth,Williams,19.37,"[18.6, 19.07, 22.16, 18.95, 20.08]",S1E1,The Milwaukee Cup Sponsored by GAN
84th,Cheryl,Jackson,19.37,"[19.15, 17.68, 20.69, 18.27, 21.41]",S1E7,The Shanghai Cup Sponsored by GAN
85th,Antonio,Valencia,19.38,"[18.17, 17.03, 19.91, 21.11, 20.06]",S1E4,The Johannesburg Open Tournament in South Africa
86th,Julia,Lamb,19.39,"[19.74, 22.9, 18.56, 19.86, 18.46]",S1E1,The Milwaukee Cup Sponsored by GAN
87th,Henry,Hunter,19.39,"[21.8, 17.6, 22.03, 18.74, 17.64]",S1E6,The Nagoya Big Double
88th,Stephanie,Cain,19.43,"[17.43, 20.86, 25.44, 18.46, 18.98]",S1E1,The Milwaukee Cup Sponsored by GAN
89th,Robert,Andrews,19.43,"[21.01, 19.76, 18.45, 19.86, 18.67]",S1E4,The Johannesburg Open Tournament in South Africa
90th,Maggie,Silver,19.44,"[19.26, 18.03, 20.25, 21.77, 18.81]",S1E3,The Las Vegas Big Double in United States
91st,Kimberly,Williams,19.45,"[17.98, 18.96, 22.98, 18.48, 20.9]",S1E5,The South Bend Open Tournament in United States
92nd,Antonio,Valencia,19.45,"[18.05, 17.84, 18.89, 21.41, 23.84]",S1E5,The South Bend Open Tournament in United States
93rd,Cheryl,Jackson,19.47,"[17.36, 22.03, 18.31, 21.19, 18.91]",S1E4,The Johannesburg Open Tournament in South Africa
94th,Maggie,Silver,19.47,"[19.12, 20.04, 20.71, 18.01, 19.26]",S1E6,The Nagoya Big Double
95th,Eric,Graham,19.47,"[19.88, 20.58, 17.94, 21.79, 12.8]",S1E7,The Shanghai Cup Sponsored by GAN
96th,Kimberly,White,19.48,"[18.55, 17.05, 19.72, 20.19, 20.17]",S1E7,The Shanghai Cup Sponsored by GAN
97th,Tanya,Lee,19.5,"[19.78, 20.09, 18.64, 17.52, 23.93]",S1E4,The Johannesburg Open Tournament in South Africa
98th,Antonio,Valencia,19.51,"[19.1, 19.94, 16.19, 20.76, 19.49]",S1E1,The Milwaukee Cup Sponsored by GAN
99th,Tanya,Lee,19.52,"[20.06, 23.13, 19.02, 18.38, 19.47]",S1E4,The Johannesburg Open Tournament in South Africa
100th,Daria,Buchkovsky,19.53,"[20.49, 20.95, 21.3, 17.15, 15.27]",S1E5,The South Bend Open Tournament in United States
