Rank,First Name,Last Name,AO5,AO5 Times,Event Num,Event
31st,Eric,Graham,20.23,"[18.13, 25.34, 19.35, 21.44, 19.89]",S1E1,The Milwaukee Cup Sponsored by GAN
32nd,Robert,Andrews,20.24,"[20.49, 20.63, 22.08, 18.64, 19.6]",S1E1,The Milwaukee Cup Sponsored by GAN
33rd,Antonio,Valencia,20.24,"[20.71, 19.62, 21.34, 20.39, 17.18]",S1E1,The Milwaukee Cup Sponsored by GAN
34th,Eric,Graham,20.35,"[20.45, 20.77, 21.49, 19.8, 19.83]",S1E1,The Milwaukee Cup Sponsored by GAN
35th,Antonio,Valencia,20.36,"[21.99, 16.56, 19.38, 21.43, 20.27]",S1E1,The Milwaukee Cup Sponsored by GAN
36th,Steven,Carpenter,20.38,"[20.68, 20.52, 19.52, 19.95, 21.09]",S1E1,The Milwaukee Cup Sponsored by GAN
37th,David,Heath,20.38,"[22.21, 20.95, 20.07, 18.66, 20.13]",S1E1,The Milwaukee Cup Sponsored by GAN
38th,Maggie,Silver,20.41,"[21.23, 23.82, 21.0, 19.01, 18.2]",S1E1,The Milwaukee Cup Sponsored by GAN
39th,Michele,Cordova,20.42,"[23.13, 18.76, 22.26, 19.23, 19.78]",S1E1,The Milwaukee Cup Sponsored by GAN
40th,Sarah,Torres,20.47,"[20.65, 23.91, 19.65, 21.11, 19.41]",S1E1,The Milwaukee Cup Sponsored by GAN
41st,Elizabeth,Williams,20.48,"[20.47, 21.16, 20.26, 18.11, 20.71]",S1E1,The Milwaukee Cup Sponsored by GAN
42nd,Julia,Lamb,20.51,"[16.97, 20.07, 21.04, 20.42, 23.45]",S1E1,The Milwaukee Cup Sponsored by GAN
43rd,Alyssa,Murillo,20.54,"[17.54, 21.82, 20.6, 21.31, 19.71]",S1E1,The Milwaukee Cup Sponsored by GAN
44th,Alyssa,Murillo,20.54,"[24.46, 24.59, 17.88, 18.42, 18.74]",S1E1,The Milwaukee Cup Sponsored by GAN
45th,Brett,Hill,20.54,"[18.81, 21.84, 24.58, 20.52, 19.25]",S1E1,The Milwaukee Cup Sponsored by GAN
46th,Kimberly,Williams,20.54,"[22.64, 21.31, 17.52, 18.61, 21.69]",S1E1,The Milwaukee Cup Sponsored by GAN
47th,Tracy,Kelley,20.55,"[21.3, 19.59, 19.54, 20.76, 22.59]",S1E1,The Milwaukee Cup Sponsored by GAN
48th,Jacob,Garcia,20.6,"[18.59, 17.85, 22.81, 20.41, 23.82]",S1E1,The Milwaukee Cup Sponsored by GAN
49th,David,Long,20.62,"[22.38, 19.93, 22.37, 19.45, 19.56]",S1E1,The Milwaukee Cup Sponsored by GAN
50th,Robert,Young,20.63,"[15.81, 28.79, 20.13, 21.36, 20.39]",S1E1,The Milwaukee Cup Sponsored by GAN
51st,Kimberly,White,20.64,"[16.19, 22.97, 21.94, 20.63, 19.34]",S1E1,The Milwaukee Cup Sponsored by GAN
52nd,Sheila,Johnson,20.65,"[21.63, 23.12, 20.15, 19.97, 20.18]",S1E1,The Milwaukee Cup Sponsored by GAN
53rd,Maggie,Silver,20.66,"[17.01, 23.66, 23.16, 19.18, 19.65]",S1E1,The Milwaukee Cup Sponsored by GAN
54th,Michelle,Hart,20.72,"[22.22, 21.39, 20.36, 20.42, 19.99]",S1E1,The Milwaukee Cup Sponsored by GAN
55th,Chad,Thomas,20.73,"[19.44, 21.51, 20.94, 23.82, 19.74]",S1E1,The Milwaukee Cup Sponsored by GAN
56th,Tanya,Lee,20.75,"[18.91, 22.24, 18.94, 25.36, 21.08]",S1E1,The Milwaukee Cup Sponsored by GAN
57th,James,Martin,20.76,"[21.36, 19.19, 20.15, 20.76, 23.35]",S1E1,The Milwaukee Cup Sponsored by GAN
58th,Alexis,Valentine,20.77,"[19.41, 28.04, 20.61, 21.66, 20.04]",S1E1,The Milwaukee Cup Sponsored by GAN
59th,Stephanie,Cain,20.82,"[17.57, 18.82, 22.78, 20.87, 23.0]",S1E1,The Milwaukee Cup Sponsored by GAN
60th,Henry,Hunter,20.86,"[22.25, 19.03, 18.51, 23.23, 21.31]",S1E1,The Milwaukee Cup Sponsored by GAN
61st,Donald,Dixon,20.89,"[20.11, 20.99, 24.87, 20.3, 21.38]",S1E1,The Milwaukee Cup Sponsored by GAN
62nd,Julia,Lamb,20.9,"[21.92, 20.35, 20.42, 25.68, 20.34]",S1E1,The Milwaukee Cup Sponsored by GAN
63rd,Stephanie,Cain,20.92,"[22.62, 19.85, 20.23, 21.74, 20.79]",S1E1,The Milwaukee Cup Sponsored by GAN
64th,Elizabeth,Williams,20.98,"[19.1, 21.03, 22.8, 22.87, 18.76]",S1E1,The Milwaukee Cup Sponsored by GAN
65th,Maggie,Silver,20.99,"[20.76, 21.51, 21.87, 20.7, 19.01]",S1E1,The Milwaukee Cup Sponsored by GAN
66th,Stephanie,Cain,21.01,"[16.99, 'DNF', 20.41, 21.57, 21.05]",S1E1,The Milwaukee Cup Sponsored by GAN
67th,Eric,Graham,21.01,"[18.01, 21.64, 22.39, 18.99, 25.29]",S1E1,The Milwaukee Cup Sponsored by GAN
68th,Sarah,Torres,21.02,"[21.64, 'DNF', 17.64, 21.38, 20.05]",S1E1,The Milwaukee Cup Sponsored by GAN
69th,Brett,Hill,21.09,"[19.07, 20.87, 20.87, 22.58, 21.52]",S1E1,The Milwaukee Cup Sponsored by GAN
70th,David,Heath,21.09,"[20.87, 18.62, 21.51, 20.88, 24.36]",S1E1,The Milwaukee Cup Sponsored by GAN
71st,Heather,Ali,21.1,"[21.36, 19.45, 21.42, 20.51, 24.98]",S1E1,The Milwaukee Cup Sponsored by GAN
72nd,Michelle,Hart,21.11,"[20.33, 18.71, 22.57, 23.05, 20.43]",S1E1,The Milwaukee Cup Sponsored by GAN
73rd,Maggie,Silver,21.12,"[21.69, 20.64, 21.02, 23.63, 20.23]",S1E1,The Milwaukee Cup Sponsored by GAN
74th,David,Heath,21.13,"[20.99, 22.35, 21.86, 19.45, 20.55]",S1E1,The Milwaukee Cup Sponsored by GAN
75th,Sarah,Torres,21.14,"[19.96, 21.77, 21.56, 21.93, 20.09]",S1E1,The Milwaukee Cup Sponsored by GAN
76th,David,Long,21.19,"[20.99, 23.06, 19.9, 20.73, 21.84]",S1E1,The Milwaukee Cup Sponsored by GAN
77th,Robin,Wells,21.19,"[20.99, 21.16, 18.4, 21.43, 25.44]",S1E1,The Milwaukee Cup Sponsored by GAN
78th,Sarah,Torres,21.23,"[22.12, 23.62, 18.6, 15.9, 22.98]",S1E1,The Milwaukee Cup Sponsored by GAN
79th,Robert,Young,21.25,"[17.33, 21.05, 21.39, 21.32, 25.29]",S1E1,The Milwaukee Cup Sponsored by GAN
80th,Michelle,Hart,21.27,"[20.56, 17.35, 22.49, 20.76, 22.52]",S1E1,The Milwaukee Cup Sponsored by GAN
81st,Joel,Morris,21.28,"[24.26, 20.49, 22.62, 20.72, 20.49]",S1E1,The Milwaukee Cup Sponsored by GAN
82nd,George,Wright,21.28,"[20.25, 22.69, 21.2, 22.38, 20.04]",S1E1,The Milwaukee Cup Sponsored by GAN
83rd,Tammy,Powers,21.28,"[21.94, 19.29, 20.89, 21.0, 23.09]",S1E1,The Milwaukee Cup Sponsored by GAN
84th,Bill,Meadows,21.33,"[20.16, 23.26, 19.82, 20.98, 22.85]",S1E1,The Milwaukee Cup Sponsored by GAN
85th,Maggie,Silver,21.35,"[21.3, 21.79, 22.03, 20.95, 19.96]",S1E1,The Milwaukee Cup Sponsored by GAN
86th,Brett,Hill,21.38,"[21.45, 20.13, 21.62, 21.07, 22.01]",S1E1,The Milwaukee Cup Sponsored by GAN
87th,Lynn,Cohen,21.38,"[17.59, 21.58, 24.45, 22.99, 19.57]",S1E1,The Milwaukee Cup Sponsored by GAN
88th,Jessica,Lane,21.39,"[20.18, 22.55, 17.13, 23.53, 21.45]",S1E1,The Milwaukee Cup Sponsored by GAN
89th,Robert,Young,21.39,"[21.1, 18.27, 25.5, 21.6, 21.47]",S1E1,The Milwaukee Cup Sponsored by GAN
90th,Jacob,Garcia,21.44,"[22.66, 17.99, 19.4, 24.28, 22.26]",S1E1,The Milwaukee Cup Sponsored by GAN
91st,Sarah,Torres,21.5,"[20.77, 23.12, 21.24, 22.5, 19.6]",S1E1,The Milwaukee Cup Sponsored by GAN
92nd,Duane,Smith,21.54,"[19.29, 21.78, 22.63, 20.78, 22.05]",S1E1,The Milwaukee Cup Sponsored by GAN
93rd,Steven,Carpenter,21.55,"[19.0, 21.11, 20.91, 22.64, 24.13]",S1E1,The Milwaukee Cup Sponsored by GAN
94th,William,Hill,21.56,"[20.51, 22.29, 21.89, 23.61, 20.17]",S1E1,The Milwaukee Cup Sponsored by GAN
95th,Andrew,Bradford,21.59,"[20.81, 23.06, 21.36, 22.11, 21.31]",S1E1,The Milwaukee Cup Sponsored by GAN
96th,Kayla,Johnson,21.6,"[22.85, 21.26, 24.31, 18.9, 20.7]",S1E1,The Milwaukee Cup Sponsored by GAN
97th,Kayla,Johnson,21.63,"[17.23, 23.31, 20.99, 20.6, 24.59]",S1E1,The Milwaukee Cup Sponsored by GAN
98th,Antonio,Valencia,21.63,"[17.94, 20.95, 23.31, 23.87, 20.62]",S1E1,The Milwaukee Cup Sponsored by GAN
99th,Tammy,Powers,21.66,"[21.45, 22.86, 19.6, 20.67, 'DNF']",S1E1,The Milwaukee Cup Sponsored by GAN
100th,Michele,Cordova,21.68,"[18.64, 21.12, 21.13, 22.8, 24.14]",S1E1,The Milwaukee Cup Sponsored by GAN
