Rank,First Name,Last Name,Time,Event Num,Event
51st,Robert,Young,15.17,S1E2,The Bangkok Cup Sponsored by GAN
52nd,Emerson,Tichenor,15.18,S1E1,The Milwaukee Cup Sponsored by GAN
53rd,Eric,Graham,15.19,S1E8,The Ho Chi Minh City Cubing Invitational
54th,Tanya,Lee,15.21,S1E1,The Milwaukee Cup Sponsored by GAN
55th,Tanya,Lee,15.21,S2E1,The Japan Open in Tokyo
56th,Conor,Evans,15.25,S1E6,The Nagoya Big Double
57th,Daria,Buchkovsky,15.27,S1E5,The South Bend Open Tournament in United States
58th,Michelle,Hart,15.33,S1E3,The Las Vegas Big Double in United States
59th,Robert,Young,15.33,S1E8,The Ho Chi Minh City Cubing Invitational
60th,Robert,Young,15.39,S1E4,The Johannesburg Open Tournament in South Africa
61st,Robin,Wells,15.4,S2E1,The Japan Open in Tokyo
62nd,Michelle,Hart,15.41,S1E7,The Shanghai Cup Sponsored by GAN
63rd,Robert,Andrews,15.42,S1E7,The Shanghai Cup Sponsored by GAN
64th,Tanya,Lee,15.42,S1E9,The Manchester Cubing Invitational
65th,Antonio,Valencia,15.46,S1E8,The Ho Chi Minh City Cubing Invitational
66th,Robert,Young,15.47,S1E3,The Las Vegas Big Double in United States
67th,Emerson,Tichenor,15.47,S1E8,The Ho Chi Minh City Cubing Invitational
68th,Bradley,Cross,15.47,S2E1,The Japan Open in Tokyo
69th,Ryan,Stoyko,15.52,S1E3,The Las Vegas Big Double in United States
70th,Daria,Buchkovsky,15.52,S1E3,The Las Vegas Big Double in United States
71st,Emerson,Tichenor,15.52,S1E7,The Shanghai Cup Sponsored by GAN
72nd,Tanya,Lee,15.54,S1E1,The Milwaukee Cup Sponsored by GAN
73rd,Bradley,Cross,15.54,S2E1,The Japan Open in Tokyo
74th,Karen,Castro,15.55,S1E5,The South Bend Open Tournament in United States
75th,Jeanette,King,15.57,S1E8,The Ho Chi Minh City Cubing Invitational
76th,Stephanie,Cain,15.6,S1E8,The Ho Chi Minh City Cubing Invitational
77th,Robert,Young,15.61,S2E1,The Japan Open in Tokyo
78th,Tanya,Lee,15.62,S1E10,The Moscow Cup Sponsored by GAN
79th,Tanya,Lee,15.65,S1E3,The Las Vegas Big Double in United States
80th,Cheryl,Jackson,15.65,S1E5,The South Bend Open Tournament in United States
81st,Stephanie,Cain,15.67,S1E7,The Shanghai Cup Sponsored by GAN
82nd,Antonio,Valencia,15.67,S1E8,The Ho Chi Minh City Cubing Invitational
83rd,Cheryl,Jackson,15.69,S1E6,The Nagoya Big Double
84th,Michael,Brown,15.71,S2E1,The Japan Open in Tokyo
85th,Antonio,Valencia,15.73,S1E4,The Johannesburg Open Tournament in South Africa
86th,Tanya,Lee,15.77,S1E1,The Milwaukee Cup Sponsored by GAN
87th,Cheryl,Jackson,15.77,S1E2,The Bangkok Cup Sponsored by GAN
88th,Nathaniel,White,15.77,S2E1,The Japan Open in Tokyo
89th,Robert,Young,15.81,S1E1,The Milwaukee Cup Sponsored by GAN
90th,Eric,Graham,15.81,S1E9,The Manchester Cubing Invitational
91st,Jason,Martin,15.85,S1E4,The Johannesburg Open Tournament in South Africa
92nd,Stephanie,Cain,15.89,S1E7,The Shanghai Cup Sponsored by GAN
93rd,Sarah,Torres,15.9,S1E1,The Milwaukee Cup Sponsored by GAN
94th,Eric,Graham,15.91,S1E1,The Milwaukee Cup Sponsored by GAN
95th,Elizabeth,Williams,15.91,S1E2,The Bangkok Cup Sponsored by GAN
96th,Robert,Young,15.91,S1E3,The Las Vegas Big Double in United States
97th,Kimberly,White,15.91,S1E9,The Manchester Cubing Invitational
98th,Tanya,Lee,15.94,S1E9,The Manchester Cubing Invitational
99th,Tanya,Lee,15.94,S1E11,Season 1 Championship in Manhattan
100th,Robert,Andrews,15.96,S1E5,The South Bend Open Tournament in United States
