Rank,First Name,Last Name,Time,Event Num,Event
51st,Daria,Buchkovsky,15.27,S1E5,The South Bend Open Tournament in United States
52nd,Michelle,Hart,15.33,S1E3,The Las Vegas Big Double in United States
53rd,Robert,Young,15.33,S1E8,The Ho Chi Minh City Cubing Invitational
54th,Robert,Young,15.39,S1E4,The Johannesburg Open Tournament in South Africa
55th,Michelle,Hart,15.41,S1E7,The Shanghai Cup Sponsored by GAN
56th,Robert,Andrews,15.42,S1E7,The Shanghai Cup Sponsored by GAN
57th,Tanya,Lee,15.42,S1E9,The Manchester Cubing Invitational
58th,Antonio,Valencia,15.46,S1E8,The Ho Chi Minh City Cubing Invitational
59th,Robert,Young,15.47,S1E3,The Las Vegas Big Double in United States
60th,Emerson,Tichenor,15.47,S1E8,The Ho Chi Minh City Cubing Invitational
61st,Ryan,Stoyko,15.52,S1E3,The Las Vegas Big Double in United States
62nd,Daria,Buchkovsky,15.52,S1E3,The Las Vegas Big Double in United States
63rd,Emerson,Tichenor,15.52,S1E7,The Shanghai Cup Sponsored by GAN
64th,Tanya,Lee,15.54,S1E1,The Milwaukee Cup Sponsored by GAN
65th,Karen,Castro,15.55,S1E5,The South Bend Open Tournament in United States
66th,Jeanette,King,15.57,S1E8,The Ho Chi Minh City Cubing Invitational
67th,Stephanie,Cain,15.6,S1E8,The Ho Chi Minh City Cubing Invitational
68th,Tanya,Lee,15.62,S1E10,The Moscow Cup Sponsored by GAN
69th,Tanya,Lee,15.65,S1E3,The Las Vegas Big Double in United States
70th,Cheryl,Jackson,15.65,S1E5,The South Bend Open Tournament in United States
71st,Stephanie,Cain,15.67,S1E7,The Shanghai Cup Sponsored by GAN
72nd,Antonio,Valencia,15.67,S1E8,The Ho Chi Minh City Cubing Invitational
73rd,Cheryl,Jackson,15.69,S1E6,The Nagoya Big Double
74th,Antonio,Valencia,15.73,S1E4,The Johannesburg Open Tournament in South Africa
75th,Tanya,Lee,15.77,S1E1,The Milwaukee Cup Sponsored by GAN
76th,Cheryl,Jackson,15.77,S1E2,The Bangkok Cup Sponsored by GAN
77th,Robert,Young,15.81,S1E1,The Milwaukee Cup Sponsored by GAN
78th,Eric,Graham,15.81,S1E9,The Manchester Cubing Invitational
79th,Jason,Martin,15.85,S1E4,The Johannesburg Open Tournament in South Africa
80th,Stephanie,Cain,15.89,S1E7,The Shanghai Cup Sponsored by GAN
81st,Sarah,Torres,15.9,S1E1,The Milwaukee Cup Sponsored by GAN
82nd,Eric,Graham,15.91,S1E1,The Milwaukee Cup Sponsored by GAN
83rd,Elizabeth,Williams,15.91,S1E2,The Bangkok Cup Sponsored by GAN
84th,Robert,Young,15.91,S1E3,The Las Vegas Big Double in United States
85th,Kimberly,White,15.91,S1E9,The Manchester Cubing Invitational
86th,Tanya,Lee,15.94,S1E9,The Manchester Cubing Invitational
87th,Tanya,Lee,15.94,S1E11,Season 1 Championship in Manhattan
88th,Robert,Andrews,15.96,S1E5,The South Bend Open Tournament in United States
89th,Kimberly,White,15.96,S1E7,The Shanghai Cup Sponsored by GAN
90th,Kimberly,White,15.96,S1E10,The Moscow Cup Sponsored by GAN
91st,Tanya,Lee,15.97,S1E2,The Bangkok Cup Sponsored by GAN
92nd,Brett,Hill,15.98,S1E5,The South Bend Open Tournament in United States
93rd,Nathaniel,White,15.98,S1E7,The Shanghai Cup Sponsored by GAN
94th,Tanya,Lee,15.99,S1E1,The Milwaukee Cup Sponsored by GAN
95th,Tanya,Lee,15.99,S1E6,The Nagoya Big Double
96th,Elizabeth,Williams,16.0,S1E1,The Milwaukee Cup Sponsored by GAN
97th,Antonio,Valencia,16.0,S1E1,The Milwaukee Cup Sponsored by GAN
98th,Tanya,Lee,16.02,S1E1,The Milwaukee Cup Sponsored by GAN
99th,Maggie,Silver,16.03,S1E3,The Las Vegas Big Double in United States
100th,Kimberly,White,16.05,S1E9,The Manchester Cubing Invitational
