The South Bend Open Tournament in United States
Top 64 Qualify.
Rank,First Name,Last Name,AO5,Scores
30th,Robert,Andrews,21.69,"[21.64, 21.24, 22.2, 23.69, 16.96]"
31st,Aaron,Hall,21.7,"[21.88, 23.69, 22.29, 20.92, 18.03]"
32nd,Robin,Wells,21.71,"[20.89, 22.57, 25.46, 20.73, 21.68]"
33rd,Jacob,Garcia,21.71,"[21.52, 22.5, 21.56, 22.04, 19.41]"
34th,Kelly,Morris,21.72,"[21.79, 20.76, 21.11, 22.26, 24.12]"
35th,Kayla,Johnson,21.72,"[21.4, 22.74, 21.22, 22.55, 18.39]"
36th,Gregory,Hood,21.8,"[20.95, 21.16, 28.24, 21.33, 22.91]"
37th,Elizabeth,Williams,21.91,"[20.06, 23.98, 23.81, 21.06, 20.86]"
38th,Donald,Dixon,21.97,"[21.22, 26.07, 23.34, 21.35, 19.83]"
39th,Kimberly,Cook,21.99,"[21.09, 21.11, 22.5, 22.37, 24.55]"
40th,Julia,Lamb,22.07,"[24.7, 20.3, 24.12, 20.58, 21.5]"
41st,Carol,Riley,22.1,"[26.83, 22.52, 21.91, 19.11, 21.86]"
42nd,Alexandria,Perez,22.11,"[21.29, 19.5, 23.32, 21.72, 24.77]"
43rd,Brittany,Duffy,22.22,"[21.3, 24.02, 21.33, 27.73, 20.91]"
44th,Lonnie,Green,22.23,"[21.06, 21.53, 24.09, 20.0, 25.06]"
45th,Suzanne,Weiss,22.27,"[22.84, 26.56, 22.25, 20.86, 21.71]"
46th,James,Howard,22.29,"[24.48, 25.06, 20.33, 22.05, 17.76]"
47th,Douglas,Robinson,22.3,"[22.39, 23.99, 21.18, 22.56, 21.94]"
48th,Bill,Meadows,22.32,"[21.84, 22.54, 22.28, 22.13, 24.05]"
49th,Michele,Cordova,22.34,"[20.44, 22.08, 22.32, 22.63, 24.57]"
50th,Denise,Harrison,22.34,"[21.29, 24.08, 24.09, 17.26, 21.64]"
51st,Charles,Wright,22.35,"[24.6, 21.25, 22.97, 21.19, 22.84]"
52nd,Sarah,Torres,22.4,"[18.82, 22.43, 21.23, 23.53, 24.31]"
53rd,Wendy,Herrera,22.45,"['DNF', 21.2, 21.73, 22.09, 23.53]"
54th,Danielle,Knapp,22.45,"[20.99, 22.27, 24.08, 24.57, 21.0]"
55th,Regina,Erickson,22.47,"[24.96, 21.29, 22.71, 18.5, 23.4]"
56th,James,Wade,22.48,"[22.41, 22.06, 22.11, 22.93, 27.19]"
57th,Julia,Stone,22.48,"[22.05, 24.59, 23.51, 21.89, 21.04]"
58th,Maria,Turner,22.53,"[22.7, 22.37, 22.58, 22.63, 21.65]"
59th,Daniel,Mendoza,22.59,"['DNF', 21.34, 21.31, 18.82, 25.11]"
60th,Denise,Diaz,22.6,"[21.78, 20.45, 24.68, 22.26, 23.75]"
61st,Tiffany,Dixon,22.65,"[21.89, 22.58, 21.92, 23.45, 25.07]"
62nd,Devon,Fisher,22.65,"[22.31, 21.28, 21.39, 24.26, 25.29]"
63rd,Scott,Bryant,22.65,"[19.78, 25.14, 23.49, 22.48, 21.97]"
64th,Alexis,Valentine,22.67,"[25.88, 19.49, 23.7, 19.5, 24.8]"
65th,Jared,Preston,22.7,"[22.91, 23.14, 22.39, 22.8, 20.91]"
66th,Emerson,Tichenor,22.72,"[20.98, 22.63, 20.57, 24.55, 24.64]"
67th,William,Hill,22.76,"[23.74, 21.8, 23.31, 19.35, 23.16]"
68th,Andrew,Barnett,22.78,"[21.65, 21.86, 25.72, 23.86, 22.62]"
69th,Christopher,Kim,22.8,"[24.75, 22.75, 22.79, 22.01, 22.86]"
70th,Andrew,Bradford,22.81,"[19.74, 24.18, 23.26, 21.67, 23.5]"
71st,Whitney,Nicholson,22.83,"[22.78, 23.12, 23.61, 22.6, 21.37]"
72nd,Krystal,Kane,22.84,"[24.14, 24.88, 21.31, 19.49, 23.06]"
73rd,Jessica,Lane,22.86,"[20.72, 23.02, 25.37, 24.85, 19.89]"
74th,Caitlin,Nolan,22.87,"[24.8, 21.16, 21.54, 25.15, 22.26]"
75th,Heather,Ali,22.88,"[22.49, 23.2, 22.9, 25.63, 22.55]"
76th,Patricia,Ross,22.91,"[21.46, 24.19, 21.85, 25.45, 22.7]"
77th,Kayla,Moore,22.96,"[20.38, 22.92, 24.97, 21.92, 24.05]"
78th,Brittany,Carroll,22.98,"[18.59, 22.72, 22.01, 24.42, 24.2]"
79th,Michael,Rodgers,23.0,"[22.28, 23.14, 23.59, 28.3, 21.32]"
80th,Michelle,Evans,23.04,"[23.2, 22.08, 23.91, 23.84, 21.56]"
81st,Duane,Smith,23.06,"[21.02, 23.09, 25.13, 23.63, 22.46]"
82nd,Tracy,Kelley,23.07,"[22.65, 23.08, 23.49, 24.86, 19.96]"
83rd,Richard,Austin,23.08,"[21.92, 21.86, 25.47, 20.95, 25.71]"
84th,Tyler,Jennings,23.1,"[24.43, 23.69, 22.16, 23.36, 22.26]"
85th,Roberto,Parsons,23.12,"[22.96, 21.09, 22.6, 24.01, 23.8]"
86th,Taylor,Roach,23.12,"[22.22, 23.31, 23.8, 25.83, 22.26]"
87th,Jeremy,Fisher,23.13,"[23.0, 23.36, 23.03, 22.24, 24.42]"
88th,Nicole,Young,23.14,"[27.07, 24.07, 23.77, 21.58, 19.71]"
89th,Allen,Cook,23.17,"[21.66, 22.19, 24.44, 24.31, 23.0]"
90th,James,Martin,23.18,"[21.52, 23.66, 20.4, 24.59, 24.37]"
91st,Heather,Soto,23.18,"[20.2, 24.57, 18.93, 24.78, 25.14]"
92nd,Justin,Santana,23.19,"[27.86, 22.08, 21.86, 23.44, 24.06]"
93rd,Timothy,Mcconnell,23.23,"[22.28, 23.8, 'DNF', 23.6, 20.37]"
94th,Sheila,Johnson,23.24,"[22.26, 'DNF', 21.46, 22.05, 25.42]"
95th,Christina,Lee,23.3,"[24.38, 25.71, 24.4, 19.78, 21.13]"
96th,Justin,Thomas,23.31,"[20.62, 20.6, 27.34, 24.87, 24.44]"
97th,Terrance,Fowler,23.34,"[24.57, 20.57, 25.36, 23.3, 22.14]"
98th,Susan,Cox,23.38,"[23.62, 20.92, 22.74, 23.89, 23.77]"
99th,Chad,Thomas,23.39,"[24.8, 23.32, 21.22, 24.3, 22.56]"
100th,Rebekah,Williams,23.39,"[24.69, 24.27, 21.22, 19.54, 'DNF']"
101st,Anthony,Smith,23.4,"[25.19, 23.99, 22.36, 22.86, 23.34]"
102nd,Kenneth,Barton,23.42,"[24.44, 22.49, 23.34, 18.36, 24.42]"
103rd,Paul,Potter,23.44,"[24.88, 23.26, 23.76, 23.3, 22.59]"
104th,Eric,Meadows,23.46,"[20.27, 23.51, 24.42, 23.78, 23.08]"
105th,Heather,Manning,23.49,"[21.63, 21.92, 'DNF', 25.32, 23.22]"
106th,Tracy,Snyder,23.5,"[18.5, 22.27, 24.87, 23.35, 26.59]"
107th,Cheryl,Weaver,23.52,"[23.22, 24.06, 23.27, 21.56, 24.63]"
108th,Jennifer,Bass,23.52,"[25.35, 22.4, 22.82, 'DNF', 21.98]"
109th,Isaiah,Norton,23.52,"[23.0, 24.04, 24.24, 21.69, 23.53]"
110th,Victor,Francis,23.52,"[23.94, 24.54, 24.45, 22.07, 22.18]"
111th,Jennifer,Brown,23.54,"[22.89, 23.06, 24.66, 22.26, 25.85]"
112th,Thomas,Dalton,23.55,"['DNF', 22.11, 22.51, 25.15, 23.0]"
113th,Sarah,Hunt,23.55,"[25.9, 21.78, 22.98, 21.14, 26.2]"
114th,Nathaniel,White,23.56,"[23.03, 25.05, 22.6, 'DNF', 21.24]"
115th,David,Hamilton,23.59,"[23.51, 26.15, 21.78, 23.21, 24.06]"
116th,Gabrielle,Brock,23.59,"[23.94, 26.08, 22.27, 20.66, 24.55]"
117th,Felicia,Martinez,23.63,"[25.56, 21.79, 21.6, 27.28, 23.55]"
118th,Martha,Smith,23.64,"[20.12, 25.36, 22.86, 22.7, 25.44]"
119th,Marissa,Scott,23.71,"[24.55, 22.12, 20.77, 25.06, 24.47]"
120th,Donald,Levy,23.72,"[25.82, 28.46, 22.6, 22.7, 22.64]"
121st,Cynthia,Silva,23.72,"[21.43, 26.1, 23.82, 23.98, 23.36]"
122nd,David,Nichols,23.73,"[22.79, 25.54, 19.52, 26.12, 22.87]"
123rd,Mary,Holt,23.74,"[23.69, 22.5, 23.9, 24.9, 23.62]"
124th,Ryan,Clark,23.75,"[24.15, 21.8, 26.89, 24.34, 22.77]"
125th,Jared,Hahn,23.76,"[23.11, 25.89, 22.27, 21.47, 27.08]"
126th,Daniel,Wade,23.77,"[23.19, 23.49, 24.19, 23.62, 25.34]"
127th,Keith,Mosley,23.77,"[23.82, 24.79, 23.81, 23.67, 23.45]"
128th,John,Tran,23.77,"[21.71, 24.42, 18.91, 28.16, 25.17]"
129th,Joel,Morris,23.78,"[24.37, 21.02, 22.83, 24.24, 24.28]"
130th,Cory,Warner,23.79,"[20.27, 23.64, 27.15, 25.17, 22.56]"
131st,Sarah,Riggs,23.83,"[23.42, 27.73, 22.74, 25.34, 22.62]"
132nd,Ronald,Ward,23.85,"[26.32, 21.55, 24.14, 22.83, 24.59]"
133rd,Tammy,Powers,23.86,"[24.71, 20.61, 20.98, 25.9, 27.33]"
134th,Jessica,Wallace,23.86,"[23.44, 26.76, 24.19, 23.16, 23.94]"
135th,Adam,Baker,23.86,"[24.39, 24.25, 21.25, 27.54, 22.93]"
136th,Kristen,Williams,23.88,"[24.87, 20.08, 25.02, 22.73, 24.05]"
137th,Julie,Barr,23.9,"[24.29, 23.05, 26.89, 22.67, 24.37]"
138th,James,Horne,23.92,"[20.92, 25.0, 26.41, 25.84, 20.66]"
139th,Justin,Johnson,23.92,"[23.61, 24.05, 24.11, 25.63, 23.23]"
140th,Lindsay,Reeves,23.92,"[24.86, 25.77, 23.19, 22.31, 23.7]"
141st,Matthew,Jefferson,23.94,"[28.14, 24.63, 23.78, 23.42, 21.63]"
142nd,Kimberly,Wade,23.95,"[24.18, 21.15, 24.68, 24.96, 22.99]"
143rd,Stephanie,Ward,23.95,"[24.66, 27.64, 21.57, 25.58, 21.61]"
144th,Alicia,Graham,23.95,"[24.07, 23.99, 23.78, 25.42, 23.0]"
145th,David,Cook,23.96,"[25.31, 28.11, 23.33, 22.54, 23.24]"
146th,Hailey,Woods,23.96,"[25.34, 22.49, 24.27, 22.93, 24.67]"
147th,Regina,Cook,23.98,"[19.9, 22.62, 24.06, 25.26, 'DNF']"
148th,Christine,Hicks,23.99,"[22.65, 23.53, 25.8, 25.82, 18.86]"
149th,Belinda,Carter,24.01,"[22.39, 27.16, 25.73, 23.04, 23.27]"
150th,Corey,Smith,24.05,"[24.99, 25.5, 22.83, 23.45, 23.71]"
151st,James,Johnston,24.06,"[25.03, 24.6, 23.52, 21.48, 24.06]"
152nd,Jeff,Miller,24.07,"[26.22, 30.66, 21.57, 21.53, 24.43]"
153rd,Keith,Henderson,24.07,"[24.78, 21.67, 25.46, 22.89, 24.54]"
154th,Eric,Miller,24.12,"[22.1, 25.64, 25.41, 24.74, 22.2]"
155th,Joseph,Morton,24.15,"[24.94, 27.28, 20.33, 20.91, 26.61]"
156th,Beth,Barry,24.21,"[20.25, 23.97, 29.63, 22.89, 25.76]"
157th,Rachel,Ramsey,24.27,"[19.4, 27.68, 22.86, 23.56, 26.39]"
158th,Vanessa,Williams,24.3,"[21.88, 25.0, 24.34, 25.8, 23.57]"
159th,Sonya,Michael,24.32,"[23.63, 26.78, 24.57, 20.28, 24.75]"
160th,Jennifer,Lewis,24.32,"[24.47, 26.0, 21.62, 22.83, 25.65]"
161st,Chad,Fisher,24.34,"[25.32, 21.57, 23.89, 25.08, 24.05]"
162nd,George,Mcguire,24.35,"[25.86, 23.0, 26.99, 23.17, 24.01]"
163rd,Ian,Campbell,24.35,"[25.11, 22.03, 25.27, 26.76, 22.67]"
164th,Kyle,Bailey,24.37,"[23.01, 26.55, 23.87, 23.98, 25.27]"
165th,Jennifer,Chung,24.37,"[25.51, 25.76, 21.2, 22.88, 24.71]"
166th,Karen,Hunter,24.38,"[24.28, 22.87, 26.82, 24.21, 24.65]"
167th,Cynthia,Hartman,24.41,"[26.93, 23.29, 21.6, 25.78, 24.15]"
168th,Heidi,Grant,24.42,"[27.48, 23.94, 23.98, 25.35, 20.53]"
169th,Michael,Davis,24.42,"[25.59, 23.74, 23.93, 26.82, 23.36]"
170th,Gary,Le,24.42,"[24.9, 23.08, 24.99, 27.23, 23.37]"
171st,Juan,Davis,24.44,"[23.66, 22.33, 26.33, 23.33, 27.4]"
172nd,Jose,Campbell,24.45,"[23.98, 22.7, 29.26, 23.73, 25.63]"
173rd,John,Oconnor,24.46,"[28.26, 24.12, 24.54, 23.61, 24.72]"
174th,April,Williams,24.49,"[26.41, 25.57, 25.82, 22.07, 22.06]"
175th,Ashley,Hamilton,24.49,"[24.22, 28.7, 24.8, 22.47, 24.45]"
176th,David,Mcgee,24.5,"[21.06, 22.66, 26.86, 24.02, 26.82]"
177th,Kayla,James,24.5,"[24.02, 27.15, 23.03, 26.45, 22.58]"
178th,Elizabeth,Taylor,24.5,"[28.77, 21.68, 24.0, 25.06, 24.44]"
179th,Sean,Moore,24.53,"[21.75, 27.59, 25.2, 25.44, 22.95]"
180th,Alexander,Stewart,24.54,"[25.98, 24.79, 23.01, 25.83, 22.7]"
181st,Chelsea,Castillo,24.55,"[24.36, 24.6, 26.69, 24.69, 24.37]"
182nd,Haley,Ryan,24.55,"[24.96, 27.58, 22.35, 23.33, 25.35]"
183rd,Melissa,Mason,24.6,"[25.0, 25.3, 22.99, 23.49, 25.33]"
184th,Samantha,Smith,24.6,"[21.8, 25.79, 27.28, 25.54, 22.46]"
185th,David,Clarke,24.6,"[22.7, 23.62, 26.58, 24.81, 25.36]"
186th,John,Tucker,24.61,"[25.3, 25.78, 22.65, 22.76, 27.63]"
187th,Tiffany,Perez,24.61,"[23.47, 22.53, 23.42, 26.95, 27.81]"
188th,Benjamin,Bowen,24.62,"[23.32, 24.42, 25.55, 28.83, 23.89]"
189th,Brittney,Gonzalez,24.67,"[25.74, 26.67, 20.88, 25.9, 22.38]"
190th,Karen,Mayer,24.67,"[23.98, 23.13, 28.88, 26.91, 21.2]"
191st,Wendy,Reyes,24.69,"[21.18, 26.95, 20.52, 26.4, 26.5]"
192nd,Marcus,Nguyen,24.71,"[24.22, 22.15, 28.38, 24.91, 24.99]"
193rd,Laurie,Palmer,24.72,"[24.89, 27.15, 25.68, 23.6, 22.64]"
194th,Nicole,Hendricks,24.73,"[26.07, 26.18, 21.65, 25.61, 22.52]"
195th,Richard,Brown,24.76,"[24.72, 26.31, 25.17, 24.39, 24.16]"
196th,Anita,Buchanan,24.77,"[25.18, 24.11, 'DNF', 23.01, 25.01]"
197th,Matthew,Mendoza,24.77,"[28.47, 25.67, 23.8, 24.84, 20.37]"
198th,Jennifer,Horne,24.78,"[25.83, 25.27, 24.06, 24.55, 24.51]"
199th,James,Gamble,24.8,"[24.85, 22.02, 'DNF', 27.54, 20.0]"
200th,James,Stanton,24.81,"[25.91, 24.1, 26.3, 24.43, 23.66]"
201st,Christina,Smith,24.82,"[30.47, 24.92, 23.28, 21.96, 26.25]"
202nd,Jennifer,Mcintyre,24.83,"[27.03, 21.51, 23.89, 'DNF', 23.56]"
203rd,James,Dickson,24.83,"[23.49, 26.54, 23.67, 'DNF', 24.29]"
204th,Amanda,Scott,24.84,"[25.86, 24.08, 26.78, 20.88, 24.59]"
205th,Jade,Berg,24.85,"[24.93, 23.5, 23.1, 26.12, 26.76]"
206th,Traci,Cox,24.87,"[24.0, 23.92, 22.2, 26.68, 28.08]"
207th,Robert,Sims,24.88,"[24.07, 23.28, 24.61, 25.96, 27.52]"
208th,Michelle,Boyle,24.9,"[23.98, 22.91, 24.4, 26.31, 27.0]"
209th,Katelyn,Douglas,24.91,"[23.59, 27.35, 26.25, 21.41, 24.89]"
210th,Bryan,Bishop,24.92,"[27.35, 21.65, 23.12, 24.62, 27.02]"
211th,Carlos,Thompson,24.93,"[25.93, 26.64, 24.72, 24.14, 24.12]"
212th,Brian,Daniel,24.98,"[25.1, 25.98, 24.88, 22.58, 24.97]"
213th,Christina,Kelly,24.98,"[26.29, 21.85, 24.45, 24.21, 27.94]"
214th,Kathleen,Ward,25.04,"[23.34, 24.72, 24.85, 25.56, 26.05]"
215th,Jennifer,Fuller,25.07,"[21.09, 30.21, 23.0, 28.08, 24.13]"
216th,Kirsten,Mendoza,25.08,"[24.62, 24.93, 24.9, 26.19, 25.42]"
217th,Amy,Allen,25.09,"[28.92, 19.74, 26.52, 24.02, 24.73]"
218th,Michael,Lee,25.11,"[25.7, 24.21, 26.11, 24.85, 24.78]"
219th,Sarah,Mendoza,25.14,"[25.89, 27.54, 22.88, 25.15, 24.37]"
220th,Anita,Butler,25.15,"[25.48, 26.34, 24.32, 25.65, 24.31]"
221st,Austin,Carpenter,25.17,"[24.36, 26.67, 22.98, 25.64, 25.5]"
222nd,Joshua,Obrien,25.17,"[25.64, 25.77, 25.42, 22.29, 24.44]"
223rd,Lauren,Morrow,25.2,"[25.97, 24.38, 26.81, 25.24, 23.72]"
224th,Lori,Sutton,25.21,"[27.05, 24.45, 23.9, 24.14, 28.96]"
225th,Shelby,Contreras,25.21,"[19.98, 27.16, 25.19, 24.4, 26.05]"
226th,Christina,Marshall,25.22,"[24.05, 25.27, 26.35, 26.72, 23.79]"
227th,Christopher,Garcia,25.24,"[24.93, 23.03, 27.01, 24.09, 26.69]"
228th,Nicole,Thompson,25.25,"[21.72, 26.12, 24.65, 24.98, 27.94]"
229th,Steven,Martinez,25.25,"[25.86, 23.91, 24.95, 24.95, 27.14]"
230th,Paula,Mcgee,25.25,"[31.77, 26.41, 24.38, 24.97, 23.85]"
231st,Thomas,Gardner,25.27,"[23.8, 23.38, 26.48, 27.73, 25.53]"
232nd,John,Fisher,25.28,"[21.79, 25.22, 25.24, 26.5, 25.38]"
233rd,Aaron,Maxwell,25.33,"[26.35, 24.45, 25.89, 25.66, 23.52]"
234th,Kimberly,Martin,25.35,"[23.6, 25.18, 27.17, 28.24, 23.7]"
235th,Anna,Valenzuela,25.37,"[29.18, 24.83, 26.08, 22.34, 25.21]"
236th,Jonathan,Howe,25.37,"[27.47, 23.69, 30.74, 24.94, 22.57]"
237th,Randall,Campbell,25.41,"[27.13, 25.7, 23.84, 24.78, 25.74]"
238th,Christopher,Wu,25.43,"['DNF', 26.53, 24.15, 24.09, 25.61]"
239th,Paige,Johnson,25.44,"[27.15, 23.88, 26.76, 24.51, 25.06]"
240th,Tonya,Molina,25.46,"[26.31, 26.28, 23.78, 27.9, 23.25]"
241st,Joshua,Dean,25.46,"[27.74, 25.61, 25.06, 24.74, 25.7]"
242nd,Michael,Woodward,25.47,"[28.44, 26.24, 25.9, 24.26, 23.99]"
243rd,Anthony,Elliott,25.48,"[25.99, 25.91, 24.55, 24.75, 25.77]"
244th,Paul,Norris,25.49,"[25.43, 24.19, 21.73, 28.04, 26.84]"
245th,Sharon,Dickson,25.49,"[27.62, 27.69, 24.34, 23.78, 24.52]"
246th,Patricia,Tyler,25.5,"[25.24, 26.52, 24.73, 24.37, 'DNF']"
247th,Wyatt,Gibson,25.52,"[25.25, 25.69, 25.62, 26.81, 23.32]"
248th,Jeffrey,Turner,25.55,"[27.35, 22.87, 25.36, 26.82, 24.47]"
249th,Jeanne,Zimmerman,25.6,"[28.17, 23.15, 25.49, 21.8, 32.48]"
250th,Donna,Adams,25.62,"[26.78, 'DNF', 24.1, 23.54, 25.97]"
251st,Nathaniel,Vargas,25.62,"[23.57, 28.17, 25.67, 26.36, 24.82]"
252nd,Christopher,Caldwell,25.63,"[27.3, 24.51, 23.21, 25.08, 28.07]"
253rd,Debra,Martin,25.63,"[24.16, 28.05, 24.65, 28.99, 24.18]"
254th,Tyler,Roach,25.63,"[28.25, 23.78, 24.97, 27.08, 24.85]"
255th,Eric,Young,25.64,"[27.78, 26.2, 25.41, 25.32, 24.57]"
256th,Kimberly,Sawyer,25.64,"[24.38, 27.5, 24.95, 24.48, 27.8]"
257th,Mariah,Bowers,25.7,"[27.82, 24.64, 24.63, 28.34, 23.84]"
258th,David,Garcia,25.71,"[23.88, 26.52, 26.97, 26.44, 24.17]"
259th,Barry,Lewis,25.71,"[24.55, 29.09, 25.25, 27.07, 24.82]"
260th,Yvonne,Ross,25.72,"[29.15, 25.8, 25.64, 23.3, 25.72]"
261st,Lynn,Cohen,25.72,"[21.44, 25.17, 'DNF', 25.21, 26.79]"
262nd,James,Miller,25.73,"[23.17, 24.91, 25.98, 26.29, 'DNF']"
263rd,Bonnie,Barrett,25.74,"[29.18, 24.42, 24.07, 27.63, 25.18]"
264th,Robert,Blanchard,25.79,"[26.88, 22.74, 24.71, 25.77, 27.75]"
265th,Brittany,Obrien,25.8,"[25.62, 'DNF', 23.43, 20.22, 28.34]"
266th,Cynthia,Moyer,25.81,"[27.03, 22.53, 24.44, 25.96, 28.44]"
267th,Jordan,Chavez,25.85,"[25.83, 'DNF', 25.89, 25.48, 25.82]"
268th,Amber,Aguilar,25.86,"[27.16, 26.85, 23.91, 25.76, 24.96]"
269th,Christine,Moran,25.86,"[24.83, 20.56, 'DNF', 26.76, 25.99]"
270th,Christian,Fleming,25.89,"[26.49, 25.8, 25.29, 25.39, 27.63]"
271st,Rebecca,Gonzalez,25.91,"[24.4, 28.3, 27.44, 25.83, 24.45]"
272nd,Alan,Morrow,25.91,"[25.72, 26.16, 25.86, 24.74, 27.01]"
273rd,Daniel,Reyes,25.91,"[30.24, 26.64, 27.21, 23.23, 23.88]"
274th,Tony,Bell,25.97,"[23.52, 26.67, 26.12, 25.11, 26.76]"
275th,Sarah,Barron,25.98,"[28.73, 26.62, 24.79, 24.82, 26.51]"
276th,Lisa,Brady,25.99,"[27.19, 24.62, 25.76, 25.01, 27.97]"
277th,Elizabeth,Johnson,26.0,"[25.13, 26.17, 27.79, 26.69, 22.41]"
278th,Darren,Frazier,26.0,"[27.01, 26.2, 24.78, 27.7, 24.48]"
279th,Michael,Thompson,26.01,"[25.48, 27.58, 25.31, 26.31, 26.23]"
280th,David,Khan,26.02,"[29.04, 24.34, 'DNF', 24.68, 24.08]"
281st,Joseph,Harmon,26.04,"[24.46, 26.96, 22.24, 29.46, 26.7]"
282nd,Alexander,Esparza,26.09,"[27.59, 23.7, 27.24, 24.96, 26.08]"
283rd,Taylor,Martinez,26.09,"[25.7, 25.85, 26.73, 27.49, 24.4]"
284th,Krystal,Smith,26.11,"[26.97, 22.57, 25.06, 27.67, 26.29]"
285th,Samuel,Gallagher,26.12,"[29.25, 23.82, 30.44, 24.38, 24.72]"
286th,Elizabeth,Henson,26.13,"[24.56, 29.9, 24.78, 24.48, 29.04]"
287th,Ana,Mitchell,26.13,"[26.01, 26.53, 25.86, 27.7, 25.0]"
288th,Andrew,Gonzalez,26.15,"[25.53, 26.91, 25.91, 'DNF', 25.64]"
289th,Kelly,Knight,26.16,"[26.15, 24.29, 25.68, 26.64, 27.78]"
290th,Susan,Page,26.16,"[26.83, 25.9, 23.7, 25.74, 27.01]"
291st,Matthew,Romero,26.19,"[25.67, 26.28, 25.94, 26.36, 28.76]"
292nd,Karen,Flores,26.2,"[22.67, 26.08, 27.23, 27.76, 25.3]"
293rd,David,Mitchell,26.21,"[27.43, 26.34, 24.87, 24.57, 27.47]"
294th,Kimberly,Wells,26.24,"[24.75, 26.5, 27.05, 27.49, 25.16]"
295th,Stacy,Dodson,26.24,"[24.64, 26.12, 25.85, 27.25, 26.76]"
296th,Anthony,Holmes,26.28,"[24.13, 25.94, 25.3, 28.59, 27.6]"
297th,Kimberly,Fisher,26.28,"[27.96, 25.14, 25.01, 27.38, 26.31]"
298th,Wayne,Baker,26.29,"[29.46, 25.99, 24.7, 26.15, 26.73]"
299th,Rebecca,Palmer,26.3,"[24.16, 28.06, 25.24, 29.45, 25.61]"
300th,Monica,Mack,26.34,"[25.16, 26.23, 27.66, 26.75, 26.03]"
301st,Brandon,Rodriguez,26.34,"[25.84, 25.53, 26.81, 27.59, 26.37]"
302nd,Evan,Elliott,26.34,"[24.94, 27.6, 25.78, 32.34, 25.65]"
303rd,Matthew,Gutierrez,26.42,"[28.47, 24.5, 24.77, 26.03, 30.1]"
304th,Barbara,Peterson,26.43,"[26.32, 29.03, 24.85, 27.95, 25.02]"
305th,Kayla,Malone,26.43,"[24.35, 27.66, 24.81, 26.84, 27.64]"
306th,Brittany,Carrillo,26.45,"[25.46, 24.83, 28.1, 30.98, 25.79]"
307th,Barbara,Thomas,26.47,"[22.11, 27.38, 29.3, 24.74, 27.28]"
308th,Melissa,Turner,26.47,"[26.54, 23.66, 26.55, 26.33, 29.25]"
309th,Gerald,Nelson,26.47,"[24.96, 26.54, 'DNF', 27.91, 24.42]"
310th,Kimberly,Graves,26.49,"[25.42, 30.63, 25.89, 24.86, 28.15]"
311th,Jaime,Sullivan,26.5,"[27.34, 24.98, 27.18, 29.48, 24.7]"
312th,Rickey,Murphy,26.52,"[27.61, 27.03, 24.63, 24.92, 27.67]"
