First Name,Last Name,Age,Expected Time,Consistency,Best Placing,AVG Placing,Wins,Podiums,Best Single,Best AO5,Best AO5 Times
Arnold,Riley,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eddy,Turner,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catherine,Mitchell,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julian,Carter,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Myra,Payne,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sophia,Evans,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Caroline,Johnston,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Savana,Campbell,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Valeria,Allen,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alberta,Stevens,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Max,Howard,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan,Williams,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derek,Harris,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maria,Fowler,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carl,Warren,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reid,Richards,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luke,Cole,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Valeria,Armstrong,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leonardo,Ferguson,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Miley,Phillips,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heather,Moore,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darcy,Myers,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Grace,Miller,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Byron,Brown,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brad,Turner,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kelsey,Chapman,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albert,Parker,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldus,Jones,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Frederick,Gibson,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adele,Alexander,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Grace,Richardson,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel,Murray,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julia,Turner,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derek,Sullivan,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aida,Ross,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stella,Martin,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Miranda,Wright,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tess,Mason,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samantha,Douglas,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashton,Montgomery,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deanna,Casey,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catherine,Tucker,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dasha,Buchkovsky,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carina,Hill,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paul,Anderson,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lilianna,Alexander,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sophia,Harper,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antony,Sullivan,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oscar,Alexander,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amanda,Carroll,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melissa,Taylor,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Natalie,Hawkins,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adison,Gray,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clark,Andrews,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rebecca,Payne,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Justin,Taylor,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aiden,Moore,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steven,Allen,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alberta,Andrews,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sophia,Richardson,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oliver,Campbell,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Justin,Kelley,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charlie,Phillips,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aston,Jones,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roman,Andrews,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dexter,Richards,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike,Turner,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jared,Myers,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Isabella,Reed,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mary,Harris,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nicole,Cunningham,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike,Spencer,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edith,Riley,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tiana,Montgomery,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maria,Elliott,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michelle,Carroll,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William,Robinson,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lucia,Higgins,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antony,Wilson,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sienna,Perkins,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric,Andrews,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julian,Stevens,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paige,Fowler,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Olivia,Richardson,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alberta,Bailey,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alan,Hill,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victoria,Andrews,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audrey,Allen,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adrian,Warren,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amber,Roberts,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sofia,Warren,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David,Russell,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maddie,Clark,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arthur,Mitchell,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adelaide,Stewart,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alford,Allen,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Frederick,Allen,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blake,Kelley,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Caroline,Hunt,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lucy,Harper,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Myra,Mitchell,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Max,Kelly,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edward,Smith,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brooke,Kelley,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edith,Crawford,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marcus,Mitchell,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fiona,Nelson,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cherry,Grant,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew,Watson,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clark,Scott,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brooke,Murphy,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blake,Howard,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chloe,Stevens,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vanessa,Brooks,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor,Casey,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kellan,Ross,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Walter,Wright,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joyce,Gray,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marcus,Richards,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jasmine,Russell,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edward,Parker,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jared,Brooks,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lyndon,Morgan,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric,Smith,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arianna,Craig,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stuart,Richards,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carlos,Johnson,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tiana,Adams,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jack,Jones,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William,Edwards,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aiden,Mitchell,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rafael,Hill,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adrianna,Evans,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reid,Andrews,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melissa,Foster,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ted,Sullivan,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sienna,Cole,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chelsea,Walker,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alexia,Murray,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Penelope,Walker,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emily,Holmes,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike,Rogers,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominik,Edwards,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gianna,Gray,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sydney,Spencer,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luke,Perkins,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Martin,Higgins,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Max,Roberts,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashton,Craig,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julian,Thomas,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melanie,Martin,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jordan,Wright,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Caroline,Harrison,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Savana,Owens,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nicole,Scott,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tara,Murphy,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Natalie,Martin,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rubie,Martin,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rubie,Ferguson,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thomas,Owens,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blake,Stewart,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spike,Ross,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Grace,Scott,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elise,Dixon,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Miranda,Brown,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dale,Foster,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
April,Morris,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darcy,Mason,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rosie,Crawford,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edith,Brown,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lyndon,Martin,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vanessa,Lloyd,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rosie,Carroll,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florrie,Grant,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldus,Chapman,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catherine,Harris,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antony,Casey,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Justin,Edwards,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John,Hunt,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adelaide,Anderson,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freddie,Perry,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elise,Bennett,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carina,Reed,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dainton,Harris,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spike,Brooks,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Annabella,Phillips,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maddie,Stewart,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victoria,Carter,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victor,Ferguson,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audrey,Hunt,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thomas,Brooks,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Penelope,Fowler,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Frederick,Hall,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catherine,Lloyd,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel,Chapman,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stella,Chapman,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Grace,Cunningham,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hailey,Henderson,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florrie,Robinson,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anna,Murphy,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charlotte,Jones,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rubie,Allen,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edwin,Myers,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jessica,Hamilton,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashton,Cameron,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mary,Davis,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carl,Kelley,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clark,Harrison,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adison,Thomas,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ned,Carroll,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dainton,Perkins,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carina,Davis,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Walter,West,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike,Myers,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adison,Spencer,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tiana,Johnson,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Valeria,Campbell,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vivian,Baker,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catherine,Elliott,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edgar,Chapman,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Madaline,Riley,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Catherine,Cunningham,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alexander,Elliott,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maria,Ellis,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominik,Turner,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stella,Thompson,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reid,Montgomery,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elise,Casey,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carina,Grant,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eleanor,Harper,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alberta,Spencer,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sawyer,Johnson,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maddie,Miller,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aiden,Barrett,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alford,Johnston,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victoria,Ross,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samantha,Hunt,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carlos,Higgins,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Violet,Anderson,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adison,Ellis,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maddie,Baker,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joyce,Kelly,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nicole,Morris,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adam,Elliott,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
